Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
BELL FOODS,"Pallichal Rd, Valummel, Kochi, Kerala 682005, India",Kerala,682005,1051564,2527796,2419963,2496982,793479,614300,1164049,1270138,1186474,Kochi,Ernakulam,9.940253061,76.25960161,0,1186818.09,1185189.105,1183903.614,1186097.311,1184637.968
BISMI TRADING COMPANY,"EEC Market, Market P.O, Vazhappily, Muvattupuzha, Kerala 686673, India",Kerala,686673,1117994,747151,341385,174100,142352,269231,402661,1435275,2254230,Muvattupuzha,Ernakulam,9.985828574,76.58100003,0,2253217.987,2253563.523,2252757.573,2254237.808,2252235.719
BLASTLINE  INDIA,"48/2510D4, 2nd Floor, Blastline Corporate Chamber,Pottakuzhi Elamakkakara (PO, Perandoor Rd, Mamangalam, Kaloor, Ernakulam, Kochi, Kerala 682026, India",Kerala,682026,41117,72252,102370,91046,85858,56970,97175,112473,148588,Ernakulam,Ernakulam,10.01621267,76.28882021,0,150381.5905,149148.2672,148417.8397,145137.1989,147761.7439
BLUEMOUNTAIN EXPORTERS,"14/486, East, Pandikudy, Chullickal, Kochi, Kerala 682001, India",Kerala,682001,25219,22563,9274,14074,25750,20622,22977,0,0,Kochi,Ernakulam,9.961975513,76.24336774,0,0,0,355.0071959,394.2883407,75.83058192
CARRIS PIPES,"P.B. No.2, Koovappady P.O, Akanad, Kerala 683544, India",Kerala,683544,5188,3600,2400,2500,15041,2280,0,880,3800,Kunnathunad,Ernakulam,10.16667257,76.50774668,0,1099.542074,4379.127787,2415.142127,3384.353835,2077.361927
CATHOLIC ART CENTRE,"Broadway, Church St, Marine Drive, Ernakulam, Kochi, Kerala 682031, India",Kerala,682031,400,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.99692354,76.27468644,0,118.9692144,0,29.41032231,97.76947662,113.9096185
CHEMMEENS (REGD),"Chemmeens Junction,Karuvekipady, Kochi-682005, Karuvelipady, Kazhuthumuttu, Thoppumpady, Kochi, Kerala 682005, India",Kerala,682005,219608,185660,118000,0,0,0,0,0,0,Kochi,Ernakulam,9.940253061,76.25960161,0,0,3785.625278,0,379.1149975,0
CII GUARDIAN INTERNATIONAL LTD.,"16B, CSEZ, Kakkanad, Kerala 682037, India",Kerala,682037,171,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.997384706,76.34072476,0,118.9692144,171.7411318,36.84791478,23.77575136,35.82498561
CLAIRON FILTERS,"Plot. No.41, 37, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India",Kerala,682037,65762,56866,108746,197692,205880,154556,212749,128149,90882,Ernakulam,Ernakulam,9.997384706,76.34072476,0,83816.36753,87077.52878,89069.84138,87989.52962,90002.58872
COCHIN CADALAS P.LTD.,"Kochi, Kerala, India",Kerala,682024,11000,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,10.01888763,76.3025345,0,0,0,287.8536306,253.7441656,0
COCHIN CONDIMENTS P.LTD.,"Kochi, Kerala, India",Kerala,682002,10892,0,0,0,0,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,0,0,287.8536306,253.7441656,0
COCHIN DIES AND MOULDS,"Kochi, Kerala, India",Kerala,682002,11855,0,0,0,0,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,221.8518941,0,467.5720227,567.4804874,0
COCHIN EXPORTS,"Federal Park, Vennala, Ernakulam, Kochi, Kerala 682028, India",Kerala,682028,11561,0,0,0,165,0,4501,5545,9218,Ernakulam,Ernakulam,9.99670085,76.32102778,0,8601.124233,9183.976041,8938.519041,8328.156691,8958.913318
COCHIN EXPORTS  ,"Federal Park, Vennala, Ernakulam, Kochi, Kerala 682028, India",Kerala,682028,2469,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.99670085,76.32102778,0,0,280.7438286,263.6424222,148.979884,0
COCHIN MINERALS AND RUTILE LTD.,"Poorna Nagar Park,, 4952+GWW, Periyar Nagar, Aluva, Kerala 683101, India",Kerala,683101,42222680,41453954,43104694,37195286,41561818,42376693,36377472,42237733,32178282,Aluva,Ernakulam,10.09568078,76.36233782,0,21014076.99,21014205.06,21013845.6,21014134.6,21014400.5
COCHIN RECLAIM & RUBBER,"Kochi, Kerala, India",Kerala,682002,60000,57620,0,0,0,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,1351.351166,1078.031468,1689.980785,1255.968295,0
COCHIN RUBBER INDUSTRIES,"Kochi, Kerala, India",Kerala,682002,41466,38699,0,0,55744,0,0,125560,22502,Kochi,Ernakulam,9.957255233,76.25402237,0,18281.66535,24498.24739,21219.58214,22549.72854,24867.07882
COCHIN SURFACTANTS P.LTD.,"PLOT no 63, Edayar, Kerala 683502, India",Kerala,683502,271800,265772,924712,818520,0,0,0,0,0,Paravur,Ernakulam,10.08769256,76.30506273,0,352.6884987,1321.393955,979.8402935,0,0
COCHIN TRADERS COCHIN,"20/46B, Near I.O.C Petrol Pump, Palluruthy Veli, Aroor - Thoppumpady Rd, Palluruthy, Kochi, Kerala 682006, India",Kerala,682006,64699,8000,8000,9000,45690,0,9072,0,0,Kochi,Ernakulam,9.917652552,76.27326456,0,1743.092288,0,0,1051.54518,1297.032076
COIMBATORE POTTERIES & REFRACTORIES,"Coimbatore, Tamil Nadu, India",Tamil Nadu,682024,77520,158245,99390,138945,144470,285928,262443,101606,137480,Ernakulam,Ernakulam,10.01888763,76.3025345,0,141745.941,139569.3541,134524.8915,141721.0069,138287.3334
COONOOR TEA ESTATES CO. LTD.,"Coonoor, Tamil Nadu, India",Tamil Nadu,682002,514266,507220,880344,126280,0,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,0,2656.230625,0,0,0
COVEMA FILAMENTS LTD.,"14-B, CSEZ, Kakkanad, Kerala 682037, India",Kerala,682037,26463,16475,13328,18765,10894,30676,30586,0,0,Ernakulam,Ernakulam,9.997466838,76.34100994,0,2609.475756,0,2745.460268,1422.458024,427.6493168
CRAFT INDIA FOOTWEAR CALICUT,"Kozhikode, Kerala, India",Kerala,682024,3279,2852,0,6997,15458,0,0,6060,12439,Ernakulam,Ernakulam,10.01888763,76.3025345,0,12774.47942,12757.49523,13990.18621,14684.98315,11848.04464
CRESCENT INTERNATIONAL TYRE TREADS,"9/22 HA IDA, Nalam Mile, ALUVA, Kerala 683112, India",Kerala,683112,4043,16713,0,0,12206,38434,11902,56260,15000,Kunnathunad,Ernakulam,10.08974094,76.39621829,0,18504.1558,16136.49152,17068.18843,15768.93901,16025.65721
CROSSINGS INTERNATIONAL DISTRIBUTION,"682037, CSEZ, Kochi, Kakkanad, Kerala 682037, India",Kerala,682037,11290,25199,14925,36061,34054,24295,16140,9568,1143,Ernakulam,Ernakulam,9.997466838,76.34100994,0,4724.777009,926.948083,4637.153808,1458.72128,1449.123826
DEEPA AGENCIES,"39/1384 Four Star Buildings Chittoor Road Valanjambalam, Ernakulam South, Kochi, Kerala 682016, India",Kerala,682016,1479,1425,3353,14860,3074,8750,4154,0,11957,Ernakulam,Ernakulam,9.965396735,76.28713605,0,11975.15203,13176.26734,12293.45745,12262.0654,11392.89761
DELSEA EXPORTS P.LTD.,"Nambiapuram, Palluruthy, Kochi, Kerala 682006, India",Kerala,682006,524217,405226,509137,512450,157724,0,258296,927125,1638148,Kochi,Ernakulam,9.917652552,76.27326456,0,1638347.685,1637220.634,1638847.423,1636752.338,1637824.862
DELTA PLYWOODS AND BOARDS,"Iringole Rd, PO, Perumbavoor, Kerala 683548, India",Kerala,683548,138000,168300,322200,89700,0,0,625160,3717350,745350,Perumbavoor,Ernakulam,10.1143171,76.49678308,0,744656.8246,746003.3013,744969.8675,745313.4734,746391.0824
DYNAMIC TECHNO MEDICALS PVT. LTD.,"Kodikuthimala, Ashokapuram, Edathala, Aluva, Kerala 683101, India",Kerala,683101,253694,156720,181943,253151,270034,238205,297257,298590,398062,Aluva,Ernakulam,10.09568078,76.36233782,0,392487.4059,398245.3678,396303.2248,394539.1743,398561.0388
EGATE INTERNATIONAL,"Lane 1, VRWA, near State Bank of India, Vyttila, Ernakulam, Kochi, Kerala 682019, India",Kerala,682019,305,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.96996996,76.31541059,0,118.9692144,0,249.9438479,0,150.4507401
ENGINEERED  ELASTOMER SOLUTIONS CO.,"SDF 16A, IVth Floor, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India",Kerala,682037,19202,27920,45004,43823,20401,23206,56187,51285,16078,Ernakulam,Ernakulam,9.997466838,76.34100994,0,16529.38055,16849.43607,17670.7929,15927.7557,16750.68506
ESCON CHEMICAL COMPANY,"423 A South vellarapilly, po, Kochi, Thekkumbhagom, Kerala 683580, India",Kerala,683580,7150,6850,0,0,0,0,0,0,0,Aluva,Ernakulam,10.13932176,76.40794164,0,496.9602322,0,0,0,695.8837101
EVEREST WOOD INDUSTRIES,"Xix/318 Kanjirakkadu, Rayonpuram P.O, Perumbavoor Kochi- 683543, Kerala, Ernakulam, Perumbavoor, Kerala 683543, India",Kerala,683543,209148,1969098,2345382,891400,459250,182542,177286,514000,2318325,Kunnathunad,Ernakulam,10.12285941,76.48358803,0,2318254.873,2317801.66,2318765.824,2318552.8,2319291.361
EVERGREEN EXPORTS,"Willingdon Island, Kochi, Kerala 682003, India",Kerala,682003,380800,1116785,2735846,1901060,3155069,2089040,4144846,5595181,1209471,Kochi,Ernakulam,9.960447846,76.27093469,0,1210185.014,1209016.949,1208835.835,1208468.027,1208815.32
EXCEL LEATHERS,"Near KSEB, 68/1637A, Mariakutty John Rd, near Power House Road, Power House Junction, Kacheripady, Kochi, Kerala 682018, India",Kerala,682018,673,937,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.991596464,76.28133009,0,0,372.9019307,0,0,325.7437704
F.G.TRADING COMPANY,"Room No:40/5476, First Floor,Ruquia Chamber, TD Rd, Padma Junction, Pullepady, Kochi, Kerala 682035, India",Kerala,682035,2100,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.979283159,76.28271734,0,0,280.7438286,263.6424222,148.979884,0
FAVOUR-ITA INTERNATIONAL,"Door No. XI/408, NH-66, Cheriakadavu, Kannamaly, Cheriakadavu, Kannamaly, Kochi, Kerala 682008, India",Kerala,682008,58345,36025,50676,68447,123635,187772,107659,64693,59190,Kochi,Ernakulam,9.869597658,76.26596289,0,59308.09161,59569.83139,57876.2875,57940.98907,56474.18964
FCI OEN CONNECTORS LTD.,"29/2089 State Highway 15 Tripunithura, Road, Thykoodam, Vyttila, Kochi, Kerala 682019, India",Kerala,682019,200782,323444,242920,289828,224462,484592,1046776,892011,494142,Ernakulam,Ernakulam,9.96996996,76.31541059,0,494866.5175,496918.7335,488091.039,496139.0601,494556.2279
FILTROWIN INDUSTRIES,"1150c, Subhash Chandra Bose Rd, Jawahar Nagar, Elamkulam, Kochi, Kerala 682020, India",Kerala,682020,472618,658630,624573,837696,838857,622638,792204,780444,739328,Ernakulam,Ernakulam,9.968617363,76.30114695,0,738701.4951,735955.5259,733430.5447,735841.4908,734877.4909
FINE ART EMPORIUM,"6/140, Synagogue Ln, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",Kerala,682002,48,0,0,0,0,225,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,0,0,0,32.212371,114.9412543
FIVE STAR OFFSET PRINTERS,"Press Kottadayil Building, Near North,, Lakeshore Hospital, Nettoor, Maradu, Kochi, Kerala 682040, India",Kerala,682040,925,950,1192,0,0,3000,0,0,0,Kanayannur,Ernakulam,9.923889512,76.31571828,0,0,195.8797972,0,0,71.14405709
GEO SEAFOODS,"Pallichal Road, Valummel, Pallichal, Kochi, Kerala 682005, India",Kerala,682005,4423302,2951520,3717165,4108617,3337145,3093427,3093498,3323084,2923359,Kochi,Ernakulam,9.940253061,76.25960161,0,2921223.746,2920841.187,2921645.98,2921345.815,2924576.276
GLOBAL EXPORTERS,"2nd Floor,307/C6,KSIE Building Cochin InternationalContainer Freight Staton, Old Anavathil Jn ICTT Road, P.O, Udyogamandal, Kalamassery, Kochi, Kerala 683501, India",Kerala,683501,1188834,1496717,1106699,1132793,1400630,1781684,2283208,1598362,2379745,Ernakulam,Ernakulam,10.06539608,76.305478,0,2380880.619,2385131.394,2383524.29,2383870.16,2385384.651
GLOBEX GLOVES,"3F3J+62X, Vengola, Kerala 683556, India",Kerala,683556,5512,0,0,0,0,0,0,0,0,Kunnathunad,Ernakulam,10.08312596,76.47373216,0,0,259.0794703,0,0,486.2683621
GOOD EARTH ORGANIC,"5CFP+MQ4, Enchackal Kavala, Kalady, Kerala 683574, India",Kerala,683574,49600,71150,143500,266012,124144,165696,183617,130362,96000,Aluva,Ernakulam,10.18281716,76.45845345,0,96015.2741,95711.81683,95160.91254,94833.08386,97897.48527
GRANDMAS FOOD PRODUCTS,"Peringuzha, XJ52+MH5, Perumpalloor P.O., Peringuzha, Ernakulam, Muvattupuzha, Kerala 686673, India",Kerala,686673,818592,773251,1014785,850994,944196,1323558,806152,719376,1238894,Muvattupuzha,Ernakulam,9.985828574,76.58100003,0,1235672.531,1244454.633,1243882.191,1242509.199,1236153.631
