Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
BABU COIR WORKS,"Pathirappally Omanappuzha Road, Pattukalam, Alappuzha, Kerala 688522, India",Kerala,688522,952546,788299,930585,1134556,956257,1165199,1539315,1006202,1314481,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,1316036.535,1310982.556,1310952.021,1303710.105,1312537.993
BROS INDIA GROUP,"J9C6+WCC, Kayippuram, Muhamma, Kerala 688525, India",Kerala,688525,269601,281284,162195,146602,113391,241360,348723,365227,325570,Cherthala,Alappuzha,9.619357623,76.35883995,0,330837.3328,332505.979,329257.1483,328612.5081,332457.4258
BUSTHAN AL WATHANIYA,"P9V4+QVH, Pallipuram, Kerala 688541, India",Kerala,688541,1034734,1111428,1105461,818131,488107,507506,487014,527820,201081,Cherthala,Alappuzha,9.742432095,76.36193387,0,202650.8634,204352.0372,202928.8636,201914.0933,198849.8774
CAT COIR,"Coir park 1 Thiruvizha North Road, Post, Mayithara, Cherthala South, Kerala 688539, India",Kerala,688539,143863,0,0,0,0,0,0,0,0,Cherthala,Alappuzha,9.664282889,76.34121378,0,1410.106168,0,333.0010423,1920.722264,0
CHARANKATTU COIR MFG.CO.P.LTD.,"AS Road, J84M+GF5, Kanjikuzhy, Shertallay, Kerala 688524, India",Kerala,688524,891951,955612,1131406,1103900,1177853,945297,550028,520763,656219,Cherthala,Alappuzha,9.689101163,76.3328507,0,659486.5181,651252.5118,657070.9321,657378.1793,658320.2468
CHERUKATTU INDUSTRIES,"V8C7+3QX Cherukattu Industries, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,4773530,3710012,4801189,3224544,1616900,1333679,1467950,758625,556020,Cherthla,Alappuzha,9.871729377,76.30438504,0,557131.9461,555845.0282,554763.4098,556369.9272,556340.7331
CLASSIC COIR FACTORY,"IV/833, MSP, Valavanad, Pollethai, Alappuzha, Kerala 688522, India",Kerala,688522,1141146,1153699,2037420,1963471,2912157,1792341,4643823,1473757,1759857,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,1758243.175,1758527.332,1759777.449,1758444.986,1758937.042
COCHIN COSMOS FOODS LTD.,"Kochi, Kerala, India",Kerala,688524,131200,178220,64000,63000,122600,50000,103000,56125,75000,Cherthala,Alappuzha,9.689101163,76.3328507,0,78843.45034,75459.43359,73780.82961,77152.95611,78123.78572
COCHIN FROZEN FOOD EXPORTS P. LTD.,"Kochi, Kerala, India",Kerala,688534,1459122,1655089,2573128,2995866,1846186,1520098,825194,322699,49492,Cherthla,Alappuzha,9.871729377,76.30438504,0,47643.80436,48935.15271,47012.85146,45964.60718,48626.06921
COCO  FIBRE TEX,"G83H+F9Q, Aarattuvazhi, Kanjiramchira, Aryad South, Alappuzha, Kerala 688007, India",Kerala,688007,2935736,3410310,3501333,3392388,4147347,2929253,5330246,3877303,5084111,Ambalapuzh A,Alappuzha,9.510326071,76.32687786,0,5085096.298,5083905.203,5084686.317,5085593.226,5084101.183
COIR FLEX,"Building No.X11, Pattanakkad, Cherthala, Pattanakkad, Kerala 688531, India",Kerala,688531,734777,748190,851413,730777,749965,770176,1124961,842077,787539,Cherthala,Alappuzha,9.725622914,76.31563822,0,789917.5678,785425.5666,788884.1345,781578.0755,784731.7294
COIR FLOOR FURNISHING CO.,"Kalyan Villa, Vellakinar Rd, Vellakkinar, Alappuzha, Kerala 688001, India",Kerala,688001,9908,6800,12800,7489,6107,0,9100,3506,6158,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,7355.520503,6475.692136,7116.323162,6436.01651,6787.885085
COIR MATES INDIA,"TP-12/498K, Varanad PO, Cherthala, Pin: 688539, Alappuzha, Cherthala, Kerala 688524, India",Kerala,688539,128449,132356,137397,203908,213406,187355,175846,191626,116995,Cherthala,Alappuzha,9.664282889,76.34121378,0,118927.0855,118597.7455,112898.3531,115452.17,120369.2061
