Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
COIR FLOOR FURNISHING CO.,"Kalyan Villa, Vellakinar Rd, Vellakkinar, Alappuzha, Kerala 688001, India",Kerala,688001,9908,6800,12800,7489,6107,0,9100,3506,6158,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,6184.05,6176.25,6197.3,6190.84,6201.36
COIR MATES INDIA,"TP-12/498K, Varanad PO, Cherthala, Pin: 688539, Alappuzha, Cherthala, Kerala 688524, India",Kerala,688539,128449,132356,137397,203908,213406,187355,175846,191626,116995,Cherthala,Alappuzha,9.664282889,76.34121378,0,116249.75,116378.93,116165.25,116319.45,116319.9
COMET EXPORTS,"J88R+699, Kanjikuzhy, Kanjikkuzhi, Kerala 688525, India",Kerala,688525,668449,390157,305216,362471,268197,228331,320840,229223,217167,Cherthala,Alappuzha,9.619357623,76.35883995,0,216657.37,216115.1,215888.46,216220.07,216178.12
D.C. MILLS,"Valavanadu, Kalavoor P.O., Kanjikuzhy, Ward 1, Alappuzha, Kerala 688522, India",Kerala,688522,327255,206232,105008,50151,29687,43837,0,0,0,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,0,0,0,0,0
DREAMS EXPORTS,"7G3C+5GX, Thattarambalam, Mavelikara, Kannamangalam North, Kerala 690103, India",Kerala,690103,63634,0,0,20661,0,8240,6425,0,15636,Mavelikkara,Alappuzha,9.250708,76.51850396,0,15638.56,15623.22,15633.2,15631.35,15639.12
EASTERN RUG MILLS,"CCSB Rd, Civil Station Ward, Alappuzha, Kerala 688001, India",Kerala,688001,139500,189521,122600,97521,125718,72676,158641,58391,47641,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,47827.93,47781.72,47804.12,47784.11,47765.74
FEBIN MARINE FOODS,"Eramalloor,, Chandiroor, Alappuzha, Kerala 688537, India",Kerala,688537,1025711,1191635,1975858,2177302,1603077,1925676,1713297,1968917,1931880,Cherthala,Alappuzha,9.82172572,76.30522974,0,1910499.41,1904886.6,1902188.96,1903256.01,1911841.23
FIBER WONDERS,"M899+27Q Perumpara Juction, Po, Kuruppan Kulangara, Cherthala, Cherthala South, Kerala 688539, India",Kerala,688539,607660,631654,640570,1145128,1222181,1291428,1088561,940280,1466591,Cherthala,Alappuzha,9.664282889,76.34121378,0,1457538.71,1458120.38,1456143.16,1458478.11,1460461.56
FIBRE WORLD,"S.N.V. Road, Kannadikavala, Aryakara, Muhamma, Kerala 688525, India",Kerala,688525,5319908,5890454,6303410,6034021,7056345,5459040,7295257,8110817,8914568,Cherthala,Alappuzha,9.619357623,76.35883995,0,8705429.99,8923905.58,8882587.56,8797718.25,8843334.07
FOAM MATTINGS INDIA LTD.,"beach, Civil Station Ward, Alappuzha, Kerala 688012, India",Kerala,688012,21414,45613,7571,0,7497,0,8161,0,0,Ambalapuzha,Alappuzha,9.490780479,76.32486257,0,0,0,0,0,0
