Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
AROMATICS INGREDIENTS P. LTD.,607604.0,717699.0,919606.0,632728.0,653607.0,486884.0,487130.0,454988.0,461568.0,443049.5551075333,655331.8556206914,451159.510252754,613681.5489108689,478440.1825530399
ASHWITH PAPER PRODUCTS,157455.0,289065.0,619497.0,557518.0,182629.0,137429.0,47660.0,1708410.0,1259117.0,1130195.1015613426,211099.8093911584,1693812.4741458204,124067.1426341805,1235725.6107168074
ASHWITH TRADE LINKS & SERVICES,2388773.0,1901571.0,2574321.0,1728909.0,1942891.0,976126.0,1279238.0,2489524.0,1675430.0,1272480.7184513274,1807513.238666623,2495237.970144161,2574206.053352703,1668485.9441880242
ASNA TRADERS,211342.0,223081.0,94223.0,164957.0,305126.0,265550.0,169214.0,186844.0,181566.0,177739.52215983285,304511.63871526485,189557.8386664408,210943.9674111622,178565.32981540702
ASPINWALL & COMPANY LTD.,65116.0,114623.0,170187.0,450309.0,89958.0,50700.0,25536.0,63221.0,4003331.0,3502259.5333738904,173587.3599822128,108969.38505455398,5577.861766601494,3837395.091460627
ASSOCIATED RUBBER CHEMICALS (KOCHI),55784.0,38500.0,79310.0,203296.0,280482.0,347879.0,342318.0,203850.0,137968.0,139549.96205933293,276095.8943539693,203618.40595298287,55365.00248063479,140996.252467537
ATHIRA PLYWOOD,798000.0,674229.0,759153.0,509360.0,413378.0,189170.0,309197.0,166000.0,147448.0,147716.4159702423,416976.58888494456,164418.06273577455,786470.0931296537,149815.78837823155
ATLANTIC CARE CHEMICALS,170757.0,282490.0,267142.0,335797.0,192203.0,79250.0,101477.0,108432.0,162648.0,162367.8077969667,191647.4076583369,108905.20538319978,170336.46609075996,162424.67429306573
AVT MCCORMICK INGREDIENTS LTD.,2672727.0,3336454.0,3489038.0,2954486.0,4619077.0,3358235.0,2497297.0,2926954.0,1027582.0,2085739.7624531388,4293973.769346001,2786381.2740843664,2245937.054600255,999675.5041999837
AVT NATURAL PRODUCTS LTD.,1933739.0,2549589.0,3153779.0,2757507.0,2406082.0,2467548.0,2075734.0,2320315.0,1317189.0,2077364.0804176647,2429800.244287323,2275027.4487473154,1669522.5840185503,1404559.3397438303
BABIN TECHNOLOGIES P. LTD.,158415.0,102889.0,111907.0,102303.0,99527.0,58051.0,50155.0,52814.0,97699.0,96913.02643820044,99890.87756881677,52336.594037376766,159525.02022631106,97218.29002157602
BALAJI ENTERPRISES,2177016.0,2055874.0,1579115.0,1440273.0,919673.0,1105427.0,1159757.0,890164.0,621755.0,480133.8678029954,886849.9855409135,871203.8424501845,2129941.5831309403,665719.8879336087
BASF INDIA LTD.,361675.0,241879.0,45812.0,6295.0,38941.0,63859.0,150871.0,21044.0,207021.0,211333.08544578103,38332.88952971852,22269.76966363777,364402.3255445746,208530.78726435592
BATHX BATHWARE INDIA PVT.LTD,794382.0,860758.0,1179771.0,964276.0,844645.0,575040.0,331160.0,288865.0,176640.0,226816.656529547,834876.2559589193,294641.59674214467,791360.7458623121,176338.39220356528
BENNETT COLEMAN & CO. LTD.,2263130.0,3959835.0,3674588.0,5206900.0,4475446.0,3274299.0,1200950.0,685417.0,862340.0,4892285.810472088,5415936.273233101,932105.544532008,2466810.2207132787,857342.2153681602
BEST AGENCIES,99430.0,124304.0,117530.0,89870.0,125210.0,27404.0,79850.0,76670.0,176230.0,177020.3333242112,122811.39321565712,76487.16413249748,99361.57937122553,176965.2639154641
BETA HEALTHCARE PRODUCTS P. LTD.,472868.0,134222.0,222131.0,105354.0,592793.0,491148.0,612855.0,320233.0,358439.0,365174.7806639952,578304.0757740381,331469.7038624529,484697.5704545541,358808.7685289564
BHARAT PETROLEIUM CORPN. (KOCHI REFINERY),11890479.0,5510722.0,4231604.0,1146338.0,3903839.0,2005432.0,893467.0,2364953.0,2363885.0,0.0,4090534.1549731256,2339597.611482752,10765754.550192378,1010690.9663664903
BHOOPATHY STEELS (P) LTD.,1301940.0,1802209.0,2023930.0,2631620.0,2180552.0,1383665.0,1083605.0,1344140.0,131180.0,0.0,2280189.658974769,1385539.6609011467,1205141.990056239,85243.7391031073
BLASTLINE INDIA P. LTD.,12420.0,6250.0,49945.0,29570.0,44501.0,22314.0,39668.0,72961.0,24205.0,24157.01459484958,43975.82134583496,73426.11189753884,12459.77228431411,24677.29912913752
BODY GEAR INTERNATIONAL P. LTD.,140353.0,147313.0,127190.0,92812.0,112409.0,89421.0,242159.0,311865.0,409751.0,391160.5661540145,111034.7081463859,306041.44422610657,140683.51758439466,395599.5309122915
BOS NATURAL FLAVOURS P. LTD.,243589.0,410599.0,270544.0,144066.0,125625.0,411724.0,317004.0,297530.0,258503.0,264201.39634729625,126597.85944097712,293722.5986326211,248211.205085593,263093.1763758738
BPL MEDICAL  TECHNOLOGIES P. LTD.,148219.0,167686.0,157219.0,44371.0,117101.0,106457.0,34310.0,14192.0,14650.0,14680.496065296124,118835.35487115632,13682.683259324673,150178.1931559186,14329.344166049303
BTC TRADING COMPANY,1831809.0,3389832.0,2963460.0,1833292.0,3136506.0,1509399.0,1714079.0,1507190.0,1553000.0,1023248.2919454952,3000574.623889789,1481486.5432206471,1788240.6882481943,1538939.1070741704
C.M.L. BIOTECH P. LTD.,1705.0,6946.0,75084.0,27730.0,11878.0,41873.0,6608.0,3601.0,24316.0,23398.220161215548,11980.070937405875,4209.716064578902,1950.6789053870573,24102.99863731429
CAR CARE ACCESSORIES,2300.0,12250.0,13300.0,16100.0,14477.0,6338.0,10144.0,9680.0,9631.0,9635.859910298916,14193.74874907355,9668.623905732917,2470.739986262476,10016.780919588306
CARBORUNDUM UNIVERSAL LTD.,7572133.0,7623562.0,8432113.0,12531274.0,27235273.0,27916830.0,22285324.0,41897972.0,51912802.0,116119069.3509126,13447401.93085545,31895063.212002464,6731803.578633585,33175716.185982317
CARNEX TIMBERS PVT LTD,248730.0,167720.0,56209.0,374466.0,303264.0,335950.0,1168779.0,496980.0,469968.0,275466.6913533848,296085.8221511073,508531.595220656,229405.68050026332,475400.248861841
CEETRON TECHNOLOGIES,23973.0,28463.0,22100.0,22576.0,34940.0,18331.0,18505.0,6000.0,11847.0,11306.688380569323,35164.76948643921,6098.010461983028,24021.079957796814,12245.894090605381
CEYENAR CHEMICALS P. LTD.,1805645.0,3008787.0,4305336.0,4950247.0,7401859.0,5708601.0,4830959.0,6067816.0,6307558.0,1822071.509601064,7465504.527294232,7457661.329191368,0.0,8202469.497275506
CHOICE TRADING CORPORATION LTD.,20280.0,87504.0,185270.0,193761.0,410874.0,515373.0,270624.0,387384.0,179907.0,187899.3485761227,400170.3359459878,380113.9740098657,19540.46288469103,180146.76414421236
