Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
-----,269326164.0,132323221.0,247538952.0,299976286.0,130701409.0,173407997.0,225454185.0,263902007.0,264852642.0,264852641.99999955,264852641.99999937,173407996.99999952,130701409.00000028,130701409.00000006
A ONE BOARDS AND PANELS,81067.0,82749.0,128810.0,131237.0,234818.0,121459.0,136073.0,71647.0,244702.0,244702.0000000004,244702.00000000047,121459.00000000036,234817.99999999916,234817.99999999913
A.B. MAURI INDIA P. LTD.,1190010.0,1224649.0,1740060.0,1601280.0,2153580.0,1715002.0,2847975.0,1327854.0,1120998.0,1120998.0000000016,1120998.0000000014,1715002.000000001,2153580.0000000005,2153580.000000001
A.V. THOMAS & COMPANY LTD.,2450.0,134238.0,274130.0,42894.0,214384.0,183703.0,157215.0,209260.0,231693.0,231693.0000000006,231693.0000000008,183702.99999999968,214383.9999999992,214383.9999999991
ABAD EXIM P. LTD.,47845.0,191917.0,78170.0,403928.0,865137.0,387302.0,505918.0,1022676.0,457873.0,457873.0000000004,457873.0000000009,387302.0000000015,865136.9999999991,865136.9999999995
ABC BUILDWARES (INDIA) PVT LTD,172438.0,648807.0,1386095.0,404321.0,645575.0,364549.0,182670.0,123120.0,42500.0,42500.000000002045,42500.00000000228,364548.99999999895,645574.9999999994,645574.9999999998
ABKUR ENTERPRISES,502997.0,618753.0,582213.0,911745.0,2117417.0,1899906.0,1461824.0,877112.0,1151157.0,1151157.0000000016,1151157.0000000028,1899906.0000000035,2117417.0000000005,2117417.000000001
ACA POLYMERS,365099.0,425054.0,266660.0,288570.0,689550.0,956570.0,683850.0,176764.0,448080.0,448080.0000000008,448080.0000000012,956570.0000000002,689549.9999999997,689549.9999999998
ACCELERATED FREEZE DRYING CO. LTD.,44688.0,42165.0,42016.0,72173.0,93810.0,186140.0,54567.0,62447.0,62653.0,62653.00000000017,62653.00000000035,186139.9999999997,93809.99999999904,93809.99999999885
ACE FINEPACK P. LTD.,136097.0,53606.0,56520.0,97544.0,80273.0,96886.0,118756.0,76040.0,80343.0,80343.00000000012,80343.00000000019,96885.99999999993,80272.99999999903,80272.99999999886
ADITYA DRUG LINES,316808.0,444688.0,439113.0,409104.0,281146.0,182439.0,273221.0,362487.0,235524.0,235524.0000000001,235524.0000000001,182438.9999999997,281145.9999999993,281145.999999999
ADORN METALS IMPORT AND EXPORT COMPANY,113755.0,153439.0,208391.0,203263.0,148247.0,112133.0,86426.0,233209.0,99455.0,99455.00000000012,99455.00000000023,112132.99999999968,148246.9999999991,148246.99999999884
AGAPPE DIAGNOSTICS LTD.,1818.0,51163.0,68005.0,35385.0,43545.0,13920.0,81841.0,55329.0,66372.0,66372.00000000029,66372.00000000036,13919.999999999873,43544.99999999901,43544.99999999882
AGFA MARKETING,1139607.0,1819185.0,1426161.0,1175522.0,1268819.0,725964.0,273582.0,17520.0,124920.0,124920.00000000212,124920.00000000288,725964.0000000022,1268818.9999999995,1268819.0000000007
AIS TRADERS,353155.0,507074.0,572981.0,662212.0,367528.0,296285.0,207254.0,394440.0,787714.0,787713.9999999998,787713.9999999998,296284.9999999997,367527.99999999977,367527.99999999907
AKAY SPICES P. LTD.,390472.0,581600.0,510547.0,356353.0,575764.0,407976.0,345002.0,451061.0,293076.0,293076.0000000008,293076.00000000105,407976.0000000004,575763.9999999994,575763.9999999995
AL BADR SEAFOOD P. LTD.,219693.0,392531.0,496949.0,296242.0,313404.0,1030467.0,1989334.0,263689.0,21930.0,21930.000000000706,21930.0000000001,1030466.9999999976,313403.99999999936,313403.99999999884
AL GAYATHRI TRADING CO. PVT. LTD.,383343.0,411871.0,854673.0,488643.0,765846.0,842636.0,823772.0,1343422.0,1383454.0,1383454.0,1383453.9999999995,842635.9999999983,765846.0000000002,765845.9999999997
"AL-FAS TRADING INTERNATIONAL PVT LTD,",2933865.0,4588399.0,9108005.0,4695587.0,7369944.0,3655231.0,2146327.0,1970256.0,4857154.0,4857154.00000001,4857154.000000012,3655231.000000005,7369944.000000005,7369944.000000009
ALLEPPEY CO. LTD.,323714.0,499584.0,420808.0,456286.0,450510.0,279288.0,513920.0,304104.0,294688.0,294688.00000000047,294688.0000000006,279288.0000000004,450509.9999999992,450509.9999999991
ALPHA TRADER,588110.0,544754.0,913588.0,1002656.0,987776.0,1129530.0,1502418.0,1671016.0,1556926.0,1556925.9999999993,1556925.9999999988,1129529.9999999986,987776.0000000002,987775.9999999995
ALPHONSA CASHEW INDUSTRIES,2539625.0,1018541.0,280330.0,1930458.0,609573.0,2550365.0,4139521.0,3992731.0,3847159.0,3847158.999999993,3847158.999999991,2550364.999999995,609573.0000000023,609572.9999999983
ALQ EXPORTERS,2359350.0,2039030.0,1037280.0,580950.0,3405870.0,4118800.0,897030.0,1940100.0,2012500.0,2012500.0000000023,2012500.000000005,4118800.000000004,3405870.0000000023,3405870.0000000047
AMAL PLYWOOD,261571.0,1110733.0,1726587.0,1654232.0,1522608.0,1043690.0,760551.0,311708.0,61112.0,61112.000000001724,61112.00000000257,1043690.0,1522608.0,1522608.0
AMALGAM FROZEN FOODS P. LTD.,35340.0,44110.0,36025.0,16589.0,22829.0,221549.0,97449.0,28262.0,11550.0,11550.000000000166,11550.000000000293,221548.99999999936,22828.999999999065,22828.999999998778
ANNZ COLORS IMPORTES N DISTRIBBTORS,36315.0,41607.0,45220.0,62589.0,95302.0,74401.0,85810.0,151637.0,62331.0,62331.00000000021,62331.000000000335,74400.9999999999,95301.999999999,95301.99999999885
APOLLO TYRES LTD.,33443983.0,13450774.0,11118567.0,16626352.0,10494582.0,8055723.0,5403274.0,1900962.0,1988199.0,1988198.9999999856,1988198.999999984,8055723.000000026,10494582.000000006,10494582.000000019
APPOOS AGENCIES,59548.0,202249.0,164350.0,182140.0,215551.0,325661.0,341275.0,223550.0,291930.0,291930.00000000023,291930.0000000003,325660.9999999996,215550.9999999993,215550.99999999895
ARAFA TRADERS,460224.0,441612.0,214757.0,328920.0,210154.0,159540.0,102695.0,64940.0,85770.0,85770.00000000016,85770.0000000003,159540.00000000044,210153.9999999992,210153.99999999907
ARIHANT BATHWARE,45020.0,13870.0,28096.0,77872.0,142658.0,115987.0,104740.0,152161.0,171030.0,171030.00000000015,171030.0000000003,115987.00000000004,142657.99999999904,142657.9999999989
AROMATICS INGREDIENTS P. LTD.,607604.0,717699.0,919606.0,632728.0,653607.0,486884.0,487130.0,454988.0,461568.0,461568.0000000007,461568.0000000008,486883.9999999998,653606.9999999997,653606.9999999995
ASHWITH PAPER PRODUCTS,157455.0,289065.0,619497.0,557518.0,182629.0,137429.0,47660.0,1708410.0,1259117.0,1259116.9999999984,1259116.999999998,137428.99999999747,182628.9999999999,182628.99999999854
ASHWITH TRADE LINKS & SERVICES,2388773.0,1901571.0,2574321.0,1728909.0,1942891.0,976126.0,1279238.0,2489524.0,1675430.0,1675430.0000000005,1675430.0,976126.0,1942891.000000001,1942891.0000000016
ASNA TRADERS,211342.0,223081.0,94223.0,164957.0,305126.0,265550.0,169214.0,186844.0,181566.0,181566.00000000035,181566.00000000047,265550.0000000004,305125.9999999992,305125.9999999992
ASPINWALL & COMPANY LTD.,65116.0,114623.0,170187.0,450309.0,89958.0,50700.0,25536.0,63221.0,4003331.0,4003330.999999998,4003330.999999997,50700.0000000012,89958.00000000183,89957.99999999945
ASSOCIATED RUBBER CHEMICALS (KOCHI),55784.0,38500.0,79310.0,203296.0,280482.0,347879.0,342318.0,203850.0,137968.0,137968.00000000015,137968.00000000035,347878.9999999999,280481.9999999991,280481.999999999
ATHIRA PLYWOOD,798000.0,674229.0,759153.0,509360.0,413378.0,189170.0,309197.0,166000.0,147448.0,147448.0000000006,147448.00000000055,189170.0000000002,413377.9999999993,413377.9999999994
