Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023
DPPK ENTERPRISES PRIVATE LIMITED,44480.0,44480.0,44480.0,44480.0,44480.0,44480.0,44480.0,44480.0,44480.0
DR. A.K. MURALEEDHARAN,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0,11130.0
DR. JAYAKRISHNAN NAMBIAR,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0
DR. MUHAMMED SAVAD THABASSU DENTAL CLINIC,1156.0,1156.0,1156.0,1156.0,1156.0,1156.0,1156.0,1156.0,1156.0
DR. RENJITH A,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0
DR.AABIND DEV,8608.0,8608.0,8608.0,8608.0,8608.0,8608.0,8608.0,8608.0,8608.0
DR.FRANKLINS HERBAL REMEDIES,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
DR.K.M. CHERIAN INSTITUTE OF MEDICAL SCIENCE P. LT,16350.0,16350.0,16350.0,16350.0,16350.0,16350.0,16350.0,16350.0,16350.0
DR.KRISHNADAS,8470.0,8470.0,8470.0,8470.0,8470.0,8470.0,8470.0,8470.0,8470.0
DR.KUTTYS HEALTHCARE,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0
DRAGON IMPEX,168616.0,168616.0,168616.0,168616.0,90285.0,55355.0,55355.0,55355.0,55355.0
DREAM HOME,6840.0,206791.5,406743.0,27830.0,860.0,860.0,860.0,860.0,860.0
DREAMLAND EXIMANIA,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0
DREAMLINE TRADING COMPANY,2441580.0,2441580.0,2118151.0,1388031.0,1696507.0,1967535.0,1370926.0,597628.0,265000.0
DREAMLUX MATTRESS,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0
DREAMS WORLD LIVING SPACE P LTD,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0
DRIPLEX WATER ENGINEERING LTD.,26367.0,17293.5,8220.0,8220.0,8220.0,8220.0,8220.0,8220.0,8220.0
DRUIDIC ENERGY PVT LYD,7483.0,7483.0,7483.0,7483.0,7483.0,7483.0,7483.0,7483.0,7483.0
DRY FRUIT HUB,22120.0,22120.0,22120.0,22120.0,22120.0,22120.0,22120.0,22120.0,22120.0
DSA INTERNATIONAL D2D PVT LTDMAR IGNITOUS SHOPPING,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
DSR GLOBAL,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0
DSSQUARE,13819.0,21745.0,21745.0,21745.0,21745.0,21745.0,21745.0,21745.0,21745.0
DTALE MODERN ONLINE PVT LTD,19849.0,19849.0,19849.0,19849.0,19849.0,19849.0,19849.0,19849.0,19849.0
DTM P. LTD.,2310.0,2310.0,2310.0,2310.0,2310.0,2310.0,2310.0,2310.0,2310.0
DUBAI CERAMIC,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0
DUBAI COLLECTIONS,4800.0,4800.0,4800.0,4800.0,9022.0,8011.0,7000.0,7000.0,7000.0
DUNES TOURISM INDIA PVT LTD,28090.0,28090.0,28090.0,28090.0,28090.0,28090.0,28090.0,28090.0,28090.0
DURAMAX,27540.0,27540.0,27540.0,27540.0,27540.0,27540.0,27540.0,27540.0,27540.0
DURAMETAL SYSTEMS P. LTD.,127350.0,127350.0,127350.0,127350.0,127350.0,127350.0,127350.0,127350.0,127350.0
DUROFLEX P. LTD.,23196.0,23196.0,23196.0,23196.0,23196.0,23196.0,23196.0,23196.0,23196.0
DUROPACK INDUSTRIES,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0
DUROPLY INDUSTRIES LTD.,68850.0,68850.0,68850.0,68850.0,68850.0,68850.0,68850.0,68850.0,68850.0
DUSTAN WOOD,13298.0,13298.0,11246.0,9194.0,7142.0,5090.0,5090.0,5090.0,5090.0
DUTCH AND HABRO INTERNATIONAL TRADING,6530.0,6530.0,6530.0,6635.0,13058.0,8722.0,4386.0,10569.0,6255.0
DUTY FREE DISTRIBUTION SERVICES P. LTD.,941372.0,477223.0,310751.0,90735.0,105036.0,115278.0,29794.0,38989.0,48184.0
DWARFSTAR ELECTRONICS PVT LTD,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0
DYNAMECHS TECHNOLOGICAL SOLUTIONS,8239.0,8239.0,8239.0,8239.0,8239.0,8239.0,8239.0,8239.0,8239.0
E & J COMPANY,12660.0,12954.0,12954.0,12954.0,12954.0,12954.0,12954.0,12954.0,12954.0
E CHEMEX PVT LTD,200885.0,200885.0,200885.0,200885.0,200885.0,200885.0,200885.0,200885.0,200885.0
E GATE INTERNATIONAL,99900.0,99900.0,99900.0,99900.0,99900.0,99900.0,99900.0,99900.0,99900.0
E-CUBE STRUCTURAL COMBINES P. LTD.,45240.0,45240.0,45240.0,45240.0,45240.0,45240.0,45240.0,45240.0,45240.0
E.J. DAVIS,15970.0,15970.0,27360.0,27360.0,27360.0,27360.0,27360.0,27360.0,27360.0
E.K. ENTERPRISES,20367.0,20367.0,20367.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0
E.K. FOODS P. LTD.,912.0,912.0,912.0,912.0,912.0,912.0,912.0,912.0,912.0
E.K. MARKETING,3390.0,3390.0,3390.0,3390.0,3390.0,3390.0,3390.0,3390.0,3390.0
E.M. TRADING,3660.0,3660.0,3660.0,3660.0,3660.0,3660.0,3660.0,3660.0,3660.0
E.M.JOYE,109754.0,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0,18480.0
E.S. MARKETING,10590.0,10590.0,10590.0,10590.0,10590.0,10590.0,10590.0,10590.0,10590.0
E.T.PLASTICS,7650.0,7650.0,23923.0,23923.0,23923.0,23923.0,23923.0,23923.0,23923.0
EAGLE INTERNATIONAL TRADING,42830.0,42830.0,42830.0,42830.0,42830.0,42830.0,42830.0,42830.0,51440.0
EAGLE ROOFINGS LIMITED,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
EAGLOSS TRADERS,16900.0,17350.0,17350.0,17350.0,17350.0,17350.0,17350.0,17350.0,17350.0
EARTHLY HUB,17340.0,17340.0,17340.0,17340.0,17340.0,17340.0,17340.0,17340.0,17340.0
EARTHSPACE BUILDERS & DEVELOPERS,204735.0,108088.0,108088.0,108088.0,108088.0,108088.0,108088.0,108088.0,108088.0
EAST AVENUE HOTELS (INDIA) PVT. LTD,8831.0,8831.0,8831.0,8831.0,8831.0,8831.0,8831.0,8831.0,8831.0
EAST INDIA,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0
EAST INDIA EXPORTS & IMPORTS,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0
EAST WEST BETTER HOMES,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,28000.0
EAST WEST SALES CORPORATION,22600.0,22600.0,22600.0,22600.0,22600.0,22600.0,22600.0,22600.0,22600.0
EASTEA CHAI P. LTD.,25287.0,25287.0,25287.0,25287.0,25287.0,25287.0,25287.0,76576.5,127866.0
EASTERN CASHEW COMPANY,98640.0,98640.0,98640.0,98640.0,98640.0,98640.0,98640.0,98640.0,98640.0
EASTERN CASHEW FACTORY,70860.0,70860.0,70860.0,70860.0,70860.0,70860.0,70860.0,70860.0,70860.0
EASTERN CONDIMENTS P. LTD.,172782.0,95956.0,19130.0,20677.5,22225.0,22225.0,22225.0,22225.0,22225.0
EASTERN MATTRESSES P. LTD.,21288.0,10650.0,10963.0,8379.0,450.0,450.0,450.0,450.0,450.0
EASTERN PLYWOODS,94251.0,46880.0,39766.67,32653.33,25540.0,89238.0,152936.0,152936.0,152936.0
EASTERN RUG MILLS,7326.0,7326.0,7326.0,7326.0,7326.0,7326.0,7326.0,7326.0,7326.0
EASTERN TREADS LTD.,60816.0,22308.0,44595.0,169134.0,365618.0,160993.0,161312.0,81828.0,81828.0
EASY WALK FOOTCARE,11785.0,11785.0,11785.0,11785.0,11785.0,11785.0,11785.0,11785.0,11785.0
EBENEZER CASHEW COMPANY,673696.0,867282.0,867282.0,867282.0,867282.0,867282.0,867282.0,867282.0,867282.0
EBER INFRASTRUCTURES P. LTD.,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0
EBI MARKETING COMPANY,108486.0,182846.0,30736.0,388342.0,448820.0,448820.0,448820.0,448820.0,448820.0
ECCLISEA LACE EMPORIUM,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0
ECCLUS EXPORTS & IMPORTS P. LTD.,25740.0,25740.0,25740.0,25740.0,25740.0,25740.0,25740.0,25740.0,25740.0
"ECHELON METALS PVT LTD,",18450.0,18450.0,18450.0,18450.0,18450.0,18450.0,18450.0,18450.0,18450.0
ECIL RAPISCAN LTD.,754.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0
ECO AIR CONTROL SYSTEMS,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
ECO EXPORTS AND IMPORTS ,714005.0,248678.0,248678.0,248678.0,248678.0,248678.0,248678.0,248678.0,248678.0
ECO GLOBAL,1089.0,1089.0,1406.0,690.0,690.0,690.0,690.0,690.0,690.0
ECO LOGIC SOLUTIONS INDIA P. LTD.,5759.0,5759.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0
ECO PAPYRUS,857146.0,1100499.0,1007558.0,1100045.0,44657.0,23000.0,23000.0,23000.0,23000.0
ECO ROOFINGS,390540.0,390540.0,390540.0,390540.0,223792.0,279000.0,103021.0,144396.0,144396.0
ECO SHINE TRADERS,8040.0,8040.0,8040.0,8040.0,8040.0,8040.0,8040.0,8040.0,8040.0
ECO SIGN SYSTEMS,9080.0,9080.0,9080.0,9080.0,9080.0,5573.0,5573.0,5573.0,5573.0
ECO SOL TEK,7962.0,7962.0,7962.0,7962.0,7962.0,7962.0,7962.0,7962.0,7962.0
ECODEW PURE WATER SOLUTIONS PVT LTD,7372.0,7372.0,7372.0,7372.0,7372.0,7372.0,7372.0,7372.0,7372.0
ECOGIENE HEALTHCARE LLP,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0
ECONOMIC FOOD SOLUTIONS P. LTD.,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0,1810.0
ECORA HOME FURNISHING,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,8513.0,27500.0,7488.0
ECOSOL,42244.0,42244.0,42244.0,42244.0,42244.0,42244.0,42244.0,42244.0,42244.0
ECOSPICE INGREDIENTS PVT LTD,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0
ECOSTA BUSINESS INTERNATIONAL,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0
EDAKHLON SREENI,7450.0,7450.0,7450.0,7450.0,7450.0,7450.0,7450.0,7450.0,7450.0
EDAPPAL HOSPITALS PVT. LTD.,46784.0,46784.0,46784.0,46784.0,46784.0,46784.0,46784.0,46784.0,46784.0
EDAPPAYIL CYCLE WORLD,91794.0,98046.0,75930.0,96916.0,52999.0,62202.0,46230.0,19155.0,19155.0
"EDASSERY KAYAL RESORT,",155360.0,155360.0,155360.0,155360.0,155360.0,155360.0,155360.0,155360.0,155360.0
EDASSERY M SAND,71350.0,71350.0,71350.0,71350.0,71350.0,71350.0,71350.0,71350.0,71350.0
EDATHADAN TRADERS,426394.0,767800.0,692700.0,222772.0,134695.0,79127.0,79127.0,79127.0,79127.0
EDATHALA PLY AND BOARDS P LTD,26050.0,26050.0,26050.0,26050.0,26050.0,26050.0,26050.0,26050.0,26050.0
EDATHALA POLYMERS P. LTD.,122320.0,122320.0,122320.0,122320.0,122320.0,85260.0,85260.0,85260.0,85260.0
EDATHARA STEEL,72064.0,72064.0,157783.0,217283.0,27697.0,27697.0,27697.0,27697.0,27697.0
EDUDENT LEARNING PVT.LTD,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0
EDUMART ACADAMIC HYPER MARKET,19820.0,19820.0,19820.0,19820.0,19820.0,19820.0,19820.0,19820.0,19820.0
EEZEE INTERNATIONAL,4590.0,4590.0,4590.0,4590.0,4590.0,4590.0,4590.0,4590.0,4590.0
EFF N FEE HOSPITALITY P. LTD.,1086.0,1086.0,1086.0,3225.5,5365.0,5365.0,5365.0,5365.0,5365.0
EFFRATECH KITCHEN AND ELECTRICAL APPLIANCES,7220.0,7220.0,7220.0,7220.0,7220.0,7220.0,7220.0,7220.0,7220.0
EFINITY TILES,55860.0,55860.0,55860.0,55860.0,55860.0,55860.0,55860.0,55860.0,55860.0
EGET INDUSTRIES LLP.,25766.0,25766.0,25766.0,25766.0,25766.0,25766.0,25766.0,25766.0,25766.0
EHAM DIGITAL LTD.,6158.0,6158.0,6158.0,6158.0,6158.0,6158.0,6158.0,6158.0,6158.0
EHAM HOME SOLUTIONS LIMITED,70444.0,70444.0,70444.0,70444.0,70444.0,70444.0,70444.0,70444.0,70444.0
EIEMENS IMPORT & EXPORT,24437.0,24437.0,24437.0,24437.0,24437.0,24437.0,24437.0,24437.0,24437.0
EINSTEK ENGINEERING INSULATION SOLUTIONS,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0,14755.0
EKK & COMPANY,3971663.0,4198845.0,4198845.0,4198845.0,4198845.0,4198845.0,4198845.0,4198845.0,4198845.0
EKK INFRASTRUCTURES P. LTD. ,4145162.0,4145162.0,4145162.0,523500.0,523500.0,523500.0,523500.0,523500.0,523500.0
EKM INTERNATIONAL,52900.0,52900.0,52900.0,52900.0,52900.0,52900.0,52900.0,52900.0,52900.0
EL MALL,11325.0,11325.0,11325.0,11325.0,11325.0,11325.0,11325.0,11325.0,11325.0
EL-SHADDAI PET,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0,3940.0
EL-TE MARINE PRODUCTS,94041.0,94041.0,94041.0,24967.0,24967.0,24967.0,24967.0,24967.0,24967.0
ELANDA IMPORT SOLUTIONS,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
ELAVUMKUDY VENEERS,27000.0,27000.0,27000.0,122600.0,41986.0,41986.0,41986.0,41986.0,41986.0
ELBON,5610.0,5610.0,5610.0,5610.0,5610.0,5610.0,5610.0,5610.0,5610.0
ELCARE SYSTEM P. LTD.,26083.0,13150.0,3605.0,3605.0,3605.0,3605.0,3605.0,3605.0,3605.0
ELCKO MOULD CENTRE,8921.0,8921.0,8921.0,8921.0,8921.0,8921.0,8921.0,8921.0,8921.0
ELECOM EXPORTS PVT LTD,611205.0,611205.0,611205.0,611205.0,611205.0,611205.0,611205.0,611205.0,611205.0
ELECSO,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0
"ELECSO,",117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
ELECTRIC WORLD,13070.0,13070.0,13070.0,13070.0,13070.0,13070.0,13070.0,13070.0,13070.0
ELECTRO DEVICES,22950.0,22950.0,22950.0,26426.0,8418.0,8418.0,8418.0,8418.0,8418.0
ELECTRO LINK,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0
ELECTROMET TRADING CO.,21590.0,21590.0,21590.0,21590.0,21590.0,21590.0,21590.0,21590.0,21590.0
ELECTROMET TRADING COMPANY,5920.0,5920.0,5920.0,10578.0,10578.0,10578.0,10578.0,10578.0,10578.0
ELECTRONICS CONTROLS DISCHARGE SYSTEMS P,39311.0,34654.0,24578.0,9887.0,9887.0,9887.0,9887.0,9887.0,9887.0
ELEKTRA HOMATES,26840.0,26840.0,26840.0,26840.0,26840.0,26840.0,26840.0,26840.0,26840.0
ELEMEC'S MULTI SPECIALTY HOSPITAL,603602.0,154358.0,31981.0,31981.0,31981.0,31981.0,31981.0,31981.0,31981.0
ELEMENTO CLADDING STONES,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0
ELEMENTS HOMESTEAD PRODUCTS,3377.0,3377.0,3377.0,3377.0,3377.0,3377.0,3377.0,3377.0,3377.0
ELEX ALUMINIUM PRODUCTS P. LTD.,662370.0,662370.0,662370.0,905230.0,1118231.0,669576.0,989598.0,991298.0,786786.0
ELGI EQUIPMENTS LTD.,4880.0,48588.0,40674.4,32760.8,24847.2,16933.6,9020.0,9020.0,9020.0
ELGI RUBBER COMPANY CO. LTD.,97732.0,97732.0,97732.0,97732.0,97732.0,97732.0,97732.0,565950.0,349483.0
ELIAT SALES AND SERVICES,49043.0,57234.0,26305.0,26305.0,26305.0,26305.0,26305.0,26305.0,26305.0
ELINA SOLUTIONS PVT LTD,17250.0,17250.0,17250.0,17250.0,17250.0,17250.0,17250.0,17250.0,17250.0
ELINE APPLIANCES INDIA P.LTD.,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0,6225.0
ELITE AGRO SPECIALITIES,8032.0,8032.0,8032.0,68860.0,129688.0,190516.0,251344.0,312172.0,373000.0
ELITE BUILDTECH,48960.0,48960.0,48960.0,48960.0,23050.0,17136.0,10227.0,10227.0,10227.0
ELITE FURNITURE,23000.0,23000.0,51406.0,42030.0,38100.0,38100.0,38100.0,38100.0,38100.0
ELITE GENERAL TRADING,41201.0,41201.0,41201.0,41201.0,41201.0,41201.0,41201.0,41201.0,41201.0
ELITE GREEN P. LTD.,468618.0,985863.0,370754.0,393227.0,574213.0,348387.0,293608.0,200060.0,200060.0
ELITE IMPEX,189700.0,189700.0,189700.0,503781.0,856430.0,442946.0,857053.0,713738.0,1629794.0
ELITE SUPER MARKET,8660.0,15000.0,9190.0,4500.0,8360.0,8360.0,8360.0,8360.0,8360.0
ELITE TOURIST HOME,107132.0,9340.0,14210.0,19080.0,20864.0,22648.0,24432.0,26216.0,28000.0
ELITE TRADERS,235500.0,235500.0,235500.0,235500.0,235500.0,235500.0,247000.0,597311.0,1371670.0
ELITE TRADINGS,71000.0,71000.0,71000.0,98750.0,101374.0,10400.0,26350.0,26675.0,27000.0
ELIXIR ENVIRO SYSTEMS P. LTD.,2316.0,2316.0,2316.0,2316.0,2316.0,2316.0,2316.0,2316.0,2316.0
ELIXIR HILLS,145209.0,92937.0,24550.0,24550.0,24550.0,24550.0,24550.0,24550.0,24550.0
ELLO BUSINESS ENTERPRISES P. LTD.,17690.0,17690.0,17690.0,17690.0,17690.0,53130.0,53130.0,53130.0,53130.0
ELNIE APPLIANCES INDIA PVT LTD,6730.0,6730.0,6730.0,6730.0,6730.0,6730.0,6730.0,6730.0,6730.0
ELNOVA P. LTD.,50960.0,83494.0,77977.0,66415.0,66415.0,66415.0,66415.0,66415.0,66415.0
ELSA TRADINGS,187324.0,187324.0,425570.0,544137.0,1123468.0,1757362.0,1665799.0,1283437.0,1841892.0
ELVANCE OVERSEAS LLP,23879.0,23879.0,23879.0,23879.0,23879.0,23879.0,23879.0,23879.0,23879.0
EMA IMPEX,51163.0,51163.0,51163.0,51163.0,51163.0,51163.0,51163.0,51163.0,76675.0
EMANS GLOBAL,17640.0,17640.0,17640.0,17640.0,17640.0,17640.0,17640.0,17640.0,17640.0
EMBALLAGE ENTERPRISES,12214.0,12214.0,14122.0,14122.0,14122.0,14122.0,14122.0,14122.0,14122.0
EMBASSERIL TOURIST HOME,7590.0,7590.0,7590.0,7590.0,7590.0,7590.0,7590.0,7590.0,7590.0
EMCEE INDUSTRIES,1550.0,1550.0,1550.0,1550.0,30322.5,59095.0,386820.0,303023.0,371220.0
EMERALD EXPORTS & IMPORTS,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0
EMERALD FURNITURE AND DECORATION,10600.0,10600.0,10600.0,9386.4,8172.8,6959.2,5745.6,4532.0,4532.0
EMERALD PLY & BOARDS,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,196000.0
EMERALD SALES CORPORATION,80444.0,80444.0,80444.0,80444.0,80444.0,100555.0,100555.0,100555.0,100555.0
EMERALD TRADING COMPANY,74570.0,74570.0,74570.0,74570.0,74570.0,74570.0,74570.0,74570.0,74570.0
EMERGICARE TRAUMA & LIFE,967.0,967.0,967.0,967.0,967.0,967.0,967.0,967.0,967.0
EMERSON PROCESS MANAGEMENT (I) P LTD.,1051824.0,1051824.0,1051824.0,1051824.0,2402163.0,509544.0,509544.0,509544.0,509544.0
EMERSON PROCESS MANAGEMENT (I) P. LTD.,436762.0,436762.0,436762.0,436762.0,436762.0,436762.0,436762.0,436762.0,436762.0
EMGEE CASHEW INDUSTRIES,198310.0,198310.0,198310.0,198310.0,198310.0,198310.0,198310.0,198310.0,198310.0
EMINTENT SEAFODS P. LTD.,2820.0,2820.0,2820.0,2820.0,2820.0,2820.0,2820.0,2820.0,2820.0
EMIRATES BUSINESS VENTURES P. LTD.,7510.0,7510.0,8135.0,8760.0,8760.0,8760.0,8760.0,8760.0,8760.0
EMIYA ENTECH PVT LTD,140500.0,140500.0,140500.0,140500.0,140500.0,140500.0,140500.0,140500.0,140500.0
EMJ ZION AUTO FINESS PRODUCTS,15591.0,1539.0,3599.0,700.0,700.0,700.0,700.0,700.0,700.0
EMKAY WOOD PRODUCTS,316880.0,171540.0,26200.0,26200.0,26200.0,26200.0,26200.0,26200.0,26200.0
EMKEKE INDUSTRIES,54500.0,54500.0,54500.0,54500.0,54200.0,54200.0,54200.0,54200.0,54200.0
EMMANUAL CASHEW FACTORY,51030.0,152965.0,152965.0,152965.0,152965.0,152965.0,152965.0,152965.0,152965.0
EMMANUEL CASHEW INDUSTRIES,4696592.0,5151992.0,558436.0,558436.0,558436.0,558436.0,558436.0,558436.0,558436.0
EMMANUEL TRADING COMPANY,24621.0,24350.0,78210.0,34007.0,32290.0,31985.0,31985.0,31985.0,31985.0
EMMAR INDUTRIES,16643.0,16643.0,16643.0,16643.0,16643.0,16643.0,16643.0,16643.0,16643.0
EMMAY PROJECTS INDIA P. LTD.,118877.0,118877.0,118877.0,118877.0,118877.0,118877.0,118877.0,118877.0,118877.0
EMMERICH IMPEX P. LTD.,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0
"EMPACK,",1050.0,1654.0,2258.0,2862.0,2862.0,2862.0,2862.0,2862.0,2862.0
EMPEES IMPEX,106990.0,106990.0,106990.0,106990.0,106990.0,106990.0,106990.0,65226.0,53407.0
EMPIRE GENERAL CONFRACTING,7380.0,7380.0,7380.0,7380.0,7380.0,7380.0,7380.0,7380.0,7380.0
EMPIRE INTERNATIONAL,3828.0,3409.0,2990.0,4836.0,4917.2,4998.4,5079.6,5160.8,5242.0
EMPRESS AGRO PROCESSORS,484985.0,111930.0,107260.0,119380.0,131500.0,131500.0,131500.0,131500.0,131500.0
EMPRESSO INTERNATIONAL TRADING P. LTD.,4457.0,4457.0,4457.0,4457.0,4457.0,4457.0,4457.0,4457.0,4457.0
EMS MEMORIAL CO-OP. HOSTICAL & RESEARCH CENTRE,38096.0,38096.0,38096.0,38096.0,38096.0,38096.0,38096.0,38096.0,38096.0
ENAF  INTERNATIONAL,24640.0,24640.0,24640.0,24640.0,24640.0,24640.0,24640.0,24640.0,24640.0
ENCARE MEDICAL DECICES P. LTD.,4821.0,4821.0,4821.0,4821.0,4821.0,4821.0,12380.0,19939.0,27498.0
ENCO TIMBERS,40155.0,40155.0,40155.0,40155.0,40155.0,40155.0,40155.0,40155.0,40155.0
ENCORE MARKETING,2187.0,2187.0,2187.0,2187.0,2187.0,2187.0,2187.0,2187.0,2187.0
ENERLIFE (INDIA) P. LTD.,298515.0,298515.0,298515.0,298515.0,298515.0,298515.0,298515.0,298515.0,298515.0
ENERPARC ENERGY PVT.LTD.,137984.0,137984.0,137984.0,137984.0,137984.0,137984.0,137984.0,137984.0,137984.0
ENFINITY TILES,55860.0,55860.0,55860.0,55860.0,55860.0,55860.0,55860.0,55860.0,55860.0
ENGINEERING CONSTRUCTIONS,16060.0,16060.0,16060.0,16060.0,16060.0,16060.0,16060.0,12590.0,12590.0
ENGINEERING DRAWING EQUIPMENTS,159.0,159.0,5920.0,5920.0,5920.0,5920.0,5920.0,5920.0,5920.0
ENGINEERING DRAWING P. LTD.,9146.0,17327.0,6782.0,3140.0,3140.0,3140.0,3140.0,3140.0,3140.0
ENGLISH INDIA CLAYS LTD.,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0
ENJAY ENTERPRISES,663655.0,151484.0,50530.0,155230.0,155230.0,155230.0,155230.0,155230.0,155230.0
ENJAYES SPICE & CHEMICALS OILS LTD.,68325.0,47175.0,10905.0,995.0,37984.0,26580.0,21052.0,15037.0,9022.0
ENJAYES SPICES & NATURAL FLAVOURS  LTD.,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0
ENJAYS SPICES AND NATURAL FLAVOURS LTD.,8902.0,8902.0,8902.0,8902.0,8902.0,8902.0,8902.0,8902.0,8902.0
ENKEY ENTERPRISES,23145.0,23145.0,23145.0,23145.0,23145.0,23145.0,23145.0,23145.0,23145.0
ENN ENN CORP LIMITED,35161.0,35161.0,35161.0,35161.0,35161.0,35161.0,35161.0,35161.0,35161.0
ENORA GLOVE P.LTD.,6313.0,6313.0,6313.0,6313.0,6313.0,6313.0,6313.0,6313.0,6313.0
ENSEMBLE INDIA P. LTD.,100120.0,100120.0,100120.0,100120.0,100120.0,100120.0,100120.0,100120.0,100120.0
ENSONS TRADING LLP,106973.0,106973.0,106973.0,106973.0,106973.0,106973.0,106973.0,106973.0,106973.0
ENTERPRISE 3S,6600.0,6600.0,6600.0,1686.0,1686.0,1686.0,1686.0,1686.0,1686.0
ENTIER EXPORTING PVT LTD,25187.0,25187.0,25187.0,25187.0,25187.0,25187.0,25187.0,25187.0,25187.0
ENVIRO SAFETY GLASS,631707.0,567221.67,502736.33,438251.0,373765.67,309280.33,244795.0,244795.0,244795.0
"ENVIROCHEM LABORATORIES P. LTD,",9600.0,9600.0,9600.0,2880.0,3640.0,4434.0,5228.0,6022.0,6816.0
ENVIRONMENTAL SYSTEMS,2680.0,2680.0,2680.0,2680.0,2680.0,2680.0,2680.0,2680.0,2680.0
ENVIS HEIGHTS P. LTD.,18568.0,18568.0,18568.0,18568.0,10310.0,8440.0,6570.0,4700.0,4700.0
EON GLOBAL PRODUCTS COMPANY,72650.0,72650.0,709378.0,18498.0,18498.0,18498.0,18498.0,18498.0,18498.0
EQUIPO,11620.0,11620.0,11620.0,11620.0,11620.0,11620.0,11620.0,11620.0,11620.0
ERA INTERNATIONAL,25900.0,25900.0,25900.0,25900.0,25900.0,25900.0,25900.0,25900.0,25900.0
"ERAM MOTORS PVT LTD,",38430.0,38430.0,38430.0,38430.0,38430.0,38430.0,38430.0,38430.0,38430.0
ERAM SCIENTIFIC SOLUTIONS P. LTD.,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0
ERGON TRADING COMPANY,31340.0,31340.0,31340.0,31340.0,31340.0,31340.0,31340.0,31340.0,31340.0
ERNEST YOUNG P. LTD.,20250.0,20250.0,20250.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0
ERODE AMARNATH MILLS PVT LTD,42840.0,42840.0,42840.0,42840.0,42840.0,42840.0,42840.0,42840.0,42840.0
