Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023
BHOOPATHY STEELS (P) LTD.,1301940.0,1802209.0,2023930.0,2631620.0,2180552.0,1383665.0,1083605.0,1344140.0,131180.0
BLASTLINE INDIA P. LTD.,12420.0,6250.0,49945.0,29570.0,44501.0,22314.0,39668.0,72961.0,24205.0
BODY GEAR INTERNATIONAL P. LTD.,140353.0,147313.0,127190.0,92812.0,112409.0,89421.0,242159.0,311865.0,409751.0
BOS NATURAL FLAVOURS P. LTD.,243589.0,410599.0,270544.0,144066.0,125625.0,411724.0,317004.0,297530.0,258503.0
BPL MEDICAL  TECHNOLOGIES P. LTD.,148219.0,167686.0,157219.0,44371.0,117101.0,106457.0,34310.0,14192.0,14650.0
BTC TRADING COMPANY,1831809.0,3389832.0,2963460.0,1833292.0,3136506.0,1509399.0,1714079.0,1507190.0,1553000.0
C.M.L. BIOTECH P. LTD.,1705.0,6946.0,75084.0,27730.0,11878.0,41873.0,6608.0,3601.0,24316.0
CAR CARE ACCESSORIES,2300.0,12250.0,13300.0,16100.0,14477.0,6338.0,10144.0,9680.0,9631.0
CARBORUNDUM UNIVERSAL LTD.,7572133.0,7623562.0,8432113.0,12531274.0,27235273.0,27916830.0,22285324.0,41897972.0,51912802.0
CARNEX TIMBERS PVT LTD,248730.0,167720.0,56209.0,374466.0,303264.0,335950.0,1168779.0,496980.0,469968.0
CEETRON TECHNOLOGIES,23973.0,28463.0,22100.0,22576.0,34940.0,18331.0,18505.0,6000.0,11847.0
CEYENAR CHEMICALS P. LTD.,1805645.0,3008787.0,4305336.0,4950247.0,7401859.0,5708601.0,4830959.0,6067816.0,6307558.0
CHOICE TRADING CORPORATION LTD.,20280.0,87504.0,185270.0,193761.0,410874.0,515373.0,270624.0,387384.0,179907.0
CHRIS MOTORS,12831.0,45574.0,103024.0,167968.0,137330.0,125069.0,125365.0,75394.0,35550.0
CHRIST MARKETING,74420.0,250090.0,55628.0,118092.0,59783.0,2250.0,20721.0,15986.0,12214.0
CLASSIC FLOOR FURNISHINGS,87105.0,145571.0,81140.0,33990.0,61955.0,70580.0,11040.0,5600.0,11620.0
CLASSIC PAINT ROLLERS & ALLIED PRODUCTS,20965.0,14621.0,8531.0,6742.0,6204.0,4810.0,8722.0,20221.0,3500.0
CLASSIC SOLVENTS P. LTD.,172298.0,230274.0,351881.0,197024.0,436934.0,827358.0,557525.0,607974.0,636568.0
CLASSY THE ANTIQUE DESIGNED FURNITURE,241658.0,222509.0,268069.0,268794.0,276455.0,124639.0,261482.0,193622.0,150654.0
COCHIN MINERALS & RUTILE LTD.,43150709.0,23175991.0,3687080.0,28609231.0,50525810.0,48630430.0,45604050.0,35675342.0,10680765.0
COCHIN RUBBERS,349594.0,224531.0,412383.0,939736.0,788029.0,167002.0,270485.0,1003415.0,425859.0
COCHIN SHIPYARD LTD.,19161618.0,21548811.0,6919396.0,2518765.0,14765725.0,3180654.0,1357177.0,618995.0,2031726.0
