Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
BELL FOODS,"Pallichal Rd, Valummel, Kochi, Kerala 682005, India",Kerala,682005,1051564,2527796,2419963,2496982,793479,614300,1164049,1270138,1186474,Kochi,Ernakulam,9.940253061,76.25960161,0,1106911.75,1069540.104,1064519.475,1062033.86,1070841.219
BISMI TRADING COMPANY,"EEC Market, Market P.O, Vazhappily, Muvattupuzha, Kerala 686673, India",Kerala,686673,1117994,747151,341385,174100,142352,269231,402661,1435275,2254230,Muvattupuzha,Ernakulam,9.985828574,76.58100003,0,2280530.478,2299804.833,2331531.005,2311599.683,2299613.973
BLASTLINE  INDIA,"48/2510D4, 2nd Floor, Blastline Corporate Chamber,Pottakuzhi Elamakkakara (PO, Perandoor Rd, Mamangalam, Kaloor, Ernakulam, Kochi, Kerala 682026, India",Kerala,682026,41117,72252,102370,91046,85858,56970,97175,112473,148588,Ernakulam,Ernakulam,10.01621267,76.28882021,0,148824.5041,149159.0776,149230.9649,148557.0909,149192.2583
BLUEMOUNTAIN EXPORTERS,"14/486, East, Pandikudy, Chullickal, Kochi, Kerala 682001, India",Kerala,682001,25219,22563,9274,14074,25750,20622,22977,0,0,Kochi,Ernakulam,9.961975513,76.24336774,0,8.929050757,12.48130543,8.919710934,5.798727072,10.02834353
CARRIS PIPES,"P.B. No.2, Koovappady P.O, Akanad, Kerala 683544, India",Kerala,683544,5188,3600,2400,2500,15041,2280,0,880,3800,Kunnathunad,Ernakulam,10.16667257,76.50774668,0,3776.049001,3785.7624,3776.907239,3765.719819,3750.21645
CATHOLIC ART CENTRE,"Broadway, Church St, Marine Drive, Ernakulam, Kochi, Kerala 682031, India",Kerala,682031,400,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.99692354,76.27468644,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
CHEMMEENS (REGD),"Chemmeens Junction,Karuvekipady, Kochi-682005, Karuvelipady, Kazhuthumuttu, Thoppumpady, Kochi, Kerala 682005, India",Kerala,682005,219608,185660,118000,0,0,0,0,0,0,Kochi,Ernakulam,9.940253061,76.25960161,0,693.0828724,0,848.4360008,0,719.3230902
CII GUARDIAN INTERNATIONAL LTD.,"16B, CSEZ, Kakkanad, Kerala 682037, India",Kerala,682037,171,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.997384706,76.34072476,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
CLAIRON FILTERS,"Plot. No.41, 37, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India",Kerala,682037,65762,56866,108746,197692,205880,154556,212749,128149,90882,Ernakulam,Ernakulam,9.997384706,76.34072476,0,90009.37389,90953.10587,91082.92162,90973.56044,90643.64334
COCHIN CADALAS P.LTD.,"Kochi, Kerala, India",Kerala,682024,11000,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,10.01888763,76.3025345,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
COCHIN CONDIMENTS P.LTD.,"Kochi, Kerala, India",Kerala,682002,10892,0,0,0,0,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
COCHIN DIES AND MOULDS,"Kochi, Kerala, India",Kerala,682002,11855,0,0,0,0,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
COCHIN EXPORTS,"Federal Park, Vennala, Ernakulam, Kochi, Kerala 682028, India",Kerala,682028,11561,0,0,0,165,0,4501,5545,9218,Ernakulam,Ernakulam,9.99670085,76.32102778,0,9308.392066,9308.930392,9307.999126,9265.361915,9277.38068
