Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
JR EXPORT INDUSTRIES,"CCSB Rd, Kodiveedu, Alappuzha, Kerala 688001, India",Kerala,688001,140718,154254,110080,257481,150239,71067,168270,67006,24094,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,23693.41571,24293.79852,24107.44486,24283.61046,24266.5754
KALPAKA EXPORTS,"C942+67H, Neerkunnam, Vandanam, Kerala 688005, India",Kerala,688005,378399,294032,141736,67000,105148,0,0,0,0,Ambalappuzha,Alappuzha,9.40768399,76.35170703,0,0,0,0,0,2242.731621
KALYAN SILKS TRICHUR P.LTD.,"Thrissur, Kerala, India",Kerala,688534,771,0,0,51544,37271,37548,80766,74978,73173,Cherthla,Alappuzha,9.871729377,76.30438504,0,73227.74371,73284.75897,73219.20698,73035.07796,73074.60681
KEMTECH EXPORTS,"M8QW+X2C, Nedumbrakkad, Alleppey, Cherthala, Kerala 688524, India",Kerala,688524,65837,66154,178771,223551,287862,259480,350621,299515,153132,Cherthala,Alappuzha,9.689101163,76.3328507,0,153532.6899,153916.3072,153113.1948,154029.5681,153547.4062
KERA PALM CREATIONS,"Poonthope Ward, Rahul Nivas, Kommady, Alappuzha, Aryad South, Kerala 688006, India",Kerala,688006,80611,70680,60460,64450,75895,48361,82390,70385,79722,Ambalapuzha,Alappuzha,9.525584704,76.33896854,0,79272.77793,79331.0196,79632.97269,79576.59041,79626.24037
KERALA AGRO MACHINERY CORPN. LTD.,"Kerala, India",Kerala,688524,44100,0,38000,6000,41480,41550,32590,0,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,46.64775649,12.92942142,10.84512154,0.770018223,3.620929223
KERALA BALERS LTD.,"G89H+M6C, Kommady, Kaichoondi, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,4826055,4118452,4466996,5303235,4398811,4264842,4961695,3123138,3063591,Ambalapuzha,Alappuzha,9.521471733,76.3244164,0,4366991.889,4263987.012,4253351.873,4244247.184,4276074.369
KERALA CARDAMOM PROCESSING & MKTG.CO.LTD,"Kerala, India",Kerala,688534,200000,64000,86250,73160,0,29920,129215,146541,115394,Cherthla,Alappuzha,9.871729377,76.30438504,0,114376.6353,114506.8172,114654.771,115141.6571,114740.4128
KERALA DINESH BEEDI WORKERS,"Kerala, India",Kerala,688534,7547,9075,6750,5102,9823,0,0,7591,5948,Cherthla,Alappuzha,9.871729377,76.30438504,0,6144.986805,6127.189765,6091.676067,6130.942539,6087.489599
KERALA HOME FOOD STUFF EXPORT,"Kerala, India",Kerala,688534,627655,632635,392616,507897,306565,257160,180734,203756,222465,Cherthla,Alappuzha,9.871729377,76.30438504,0,220783.5029,222940.3926,221859.4041,220411.344,217698.1825
