iter	Passed	Remaining
434	1539	1999
435	1541	1994
436	1544	1990
437	1547	1985
438	1549	1980
439	1552	1975
440	1556	1973
441	1559	1969
442	1562	1964
443	1564	1959
444	1567	1954
445	1571	1952
446	1575	1948
447	1577	1943
448	1579	1938
449	1582	1933
450	1585	1930
451	1589	1926
452	1592	1922
453	1594	1917
454	1596	1912
455	1599	1908
456	1603	1905
457	1606	1901
458	1610	1897
459	1613	1893
460	1618	1892
461	1621	1887
462	1624	1883
463	1626	1878
464	1629	1874
465	1633	1872
466	1637	1868
467	1641	1866
468	1645	1862
469	1650	1860
470	1653	1856
471	1655	1852
472	1657	1846
473	1660	1842
474	1664	1839
475	1667	1835
476	1669	1831
477	1672	1826
478	1675	1821
479	1679	1819
480	1682	1815
481	1684	1810
482	1687	1805
483	1689	1801
484	1691	1796
485	1695	1793
486	1698	1788
487	1700	1784
488	1702	1779
489	1704	1774
490	1707	1770
491	1725	1781
492	1730	1779
493	1734	1776
494	1738	1774
495	1744	1772
496	1748	1769
497	1753	1767
498	1758	1765
499	1761	1761
500	1765	1757
501	1769	1755
502	1773	1752
503	1777	1749
504	1781	1745
505	1785	1742
506	1850	1799
507	1857	1799
508	1862	1797
509	1866	1793
510	1873	1792
511	1878	1790
512	1882	1787
513	1885	1782
514	1889	1779
515	1892	1775
516	1894	1769
517	1896	1765
518	1899	1760
519	1902	1756
520	1905	1752
521	1907	1747
522	1910	1742
523	1912	1737
524	1914	1732
525	1917	1727
526	1920	1723
527	1922	1718
528	1925	1713
529	1927	1709
530	1929	1704
531	1931	1699
532	1935	1696
533	1937	1691
534	1940	1686
535	1942	1681
536	1944	1676
537	1946	1671
538	1950	1668
539	1953	1663
540	1955	1658
541	1957	1654
542	1960	1649
543	1962	1644
544	1966	1641
545	1969	1637
546	1971	1632
547	1973	1628
548	1977	1624
549	1980	1620
550	1983	1616
551	1985	1611
552	1987	1606
553	1991	1602
554	1994	1599
555	1998	1595
556	2003	1593
557	2006	1589
558	2009	1585
559	2013	1582
560	2016	1577
561	2018	1573
562	2021	1569
563	2024	1564
564	2029	1562
565	2031	1558
566	2034	1553
567	2037	1549
568	2039	1544
569	2045	1542
570	2048	1538
571	2051	1534
572	2053	1530
573	2055	1525
574	2059	1522
575	2063	1518
576	2065	1514
577	2068	1510
578	2070	1505
579	2075	1502
580	2077	1498
581	2080	1494
582	2082	1489
583	2084	1485
584	2087	1480
585	2091	1477
586	2094	1473
587	2096	1469
588	2098	1464
589	2100	1459
590	2103	1455
591	2106	1452
592	2109	1447
593	2111	1443
594	2113	1438
595	2115	1434
596	2118	1429
597	2122	1426
598	2125	1422
599	2127	1418
600	2129	1413
601	2131	1409
602	2133	1404
603	2137	1401
604	2139	1397
605	2142	1392
606	2144	1388
607	2146	1383
608	2148	1379
609	2151	1375
610	2154	1371
611	2156	1367
612	2158	1363
613	2161	1358
614	2163	1354
615	2165	1349
616	2170	1347
617	2172	1343
618	2175	1338
619	2177	1334
620	2179	1330
621	2182	1326
622	2187	1323
623	2191	1320
624	2194	1316
625	2196	1312
626	2202	1310
627	2204	1306
628	2207	1301
629	2210	1298
630	2216	1295
631	2219	1292
632	2221	1287
633	2223	1283
634	2226	1279
635	2231	1276
636	2234	1273
637	2237	1269
638	2240	1265
639	2242	1261
640	2246	1258
641	2249	1254
642	2251	1250
643	2253	1245
644	2256	1241
645	2258	1237
646	2261	1234
647	2264	1230
648	2266	1225
649	2268	1221
650	2271	1217
651	2273	1213
652	2275	1209
653	2279	1205
654	2281	1201
655	2284	1197
656	2286	1193
657	2288	1189
658	2290	1185
659	2294	1182
660	2297	1178
661	2299	1174
662	2302	1170
663	2304	1166
664	2306	1161
665	2310	1158
666	2313	1155
667	2316	1151
668	2318	1146
669	2320	1142
670	2322	1138
671	2326	1135
672	2328	1131
673	2331	1127
674	2333	1123
675	2335	1119
676	2337	1115
677	2341	1112
678	2343	1108
679	2346	1104
680	2348	1100
681	2350	1096
682	2352	1091
683	2356	1088
684	2359	1085
685	2362	1081
686	2364	1077
687	2367	1073
688	2369	1069
689	2373	1066
690	2377	1062
691	2379	1059
692	2382	1055
693	2384	1051
694	2389	1048
695	2392	1044
696	2394	1041
697	2397	1037
698	2399	1033
699	2404	1030
700	2407	1026
701	2409	1022
702	2412	1019
703	2415	1015
704	2458	1028
705	2468	1027
706	2478	1027
707	2486	1025
708	2489	1021
709	2491	1017
710	2494	1013
711	2496	1010
712	2504	1008
713	2510	1005
714	2513	1002
715	2518	998
716	2521	995
717	2523	991
718	2525	987
719	2527	983
720	2531	979
721	2533	975
722	2536	971
723	2538	967
724	2540	963
725	2542	959
726	2545	955
727	2548	952
728	2551	948
729	2554	944
730	2556	940
731	2558	936
732	2561	933
733	2564	929
734	2567	925
735	2570	921
736	2572	918
737	2575	914
738	2580	911
739	2583	907
740	2585	903
741	2588	900
742	2591	896
743	2595	893
744	2598	889
745	2600	885
746	2603	881
747	2605	877
748	2610	874
749	2613	871
750	2615	867
751	2618	863
752	2621	859
753	2626	856
754	2629	853
755	2631	849
756	2633	845
757	2636	841
758	2640	838
759	2643	834
760	2645	830
761	2648	827
762	2650	823
763	2653	819
764	2656	816
765	2659	812
766	2661	808
767	2664	804
768	2667	801
769	2671	798
770	2674	794
771	2676	790
772	2678	786
773	2681	782
774	2683	779
775	2686	775
776	2689	771
777	2692	768
778	2694	764
779	2696	760
780	2699	756
781	2702	753
782	2705	749
783	2707	746
784	2710	742
785	2712	738
786	2716	735
787	2719	731
788	2722	728
789	2724	724
790	2726	720
791	2730	717
792	2732	713
793	2735	709
794	2737	705
795	2740	702
796	2742	698
797	2746	695
798	2748	691
799	2751	687
800	2754	684
801	2757	680
802	2760	677
803	2764	673
804	2767	670
805	2770	666
806	2772	663
807	2777	659
808	2781	656
809	2783	653
810	2786	649
811	2789	645
812	2793	642
813	2796	638
814	2798	635
815	2801	631
816	2803	627
817	2808	624
818	2811	621
819	2814	617
820	2816	614
821	2819	610
822	2822	606
823	2825	603
824	2827	599
825	2830	596
826	2832	592
827	2834	588
828	2838	585
829	2840	581
830	2842	578
831	2845	574
832	2847	570
833	2849	567
834	2852	563
835	2856	560
836	2858	556
837	2860	553
838	2863	549
839	2865	545
840	2869	542
841	2872	539
842	2874	535
843	2877	531
844	2879	528
845	2881	524
846	2885	521
847	2888	517
848	2890	514
849	2892	510
850	2894	506
851	2896	503
852	2900	499
853	2902	496
854	2905	492
855	2907	489
856	2909	485
857	2911	481
858	2914	478
859	2918	475
860	2920	471
861	2922	467
862	2924	464
863	2928	460
864	2932	457
865	2934	454
866	2936	450
867	2939	446
868	2941	443
869	2944	440
870	2949	436
871	2952	433
872	2954	429
873	2957	426
874	2960	422
875	2965	419
876	2967	416
877	2970	412
878	2973	409
879	2976	405
880	2980	402
881	3045	407
882	3049	404
883	3051	400
884	3054	396
885	3057	393
886	3064	390
887	3070	387
888	3074	383
889	3078	380
890	3081	376
891	3084	373
892	3086	369
893	3088	366
894	3092	362
895	3094	359
896	3097	355
897	3099	352
898	3101	348
899	3103	344
900	3106	341
901	3109	337
902	3111	334
903	3114	330
904	3116	327
905	3118	323
906	3121	320
907	3124	316
908	3127	313
909	3129	309
910	3131	305
911	3134	302
912	3137	299
913	3140	295
914	3142	291
915	3144	288
916	3147	284
917	3149	281
918	3155	278
919	3158	274
920	3161	271
921	3163	267
922	3166	264
923	3171	260
924	3174	257
925	3176	253
926	3179	250
927	3183	246
928	3188	243
929	3192	240
930	3195	236
931	3198	233
932	3202	230
933	3205	226
934	3208	223
935	3212	219
936	3217	216
937	3219	212
938	3222	209
939	3224	205
940	3226	202
941	3229	198
942	3233	195
943	3235	191
944	3237	188
945	3239	184
946	3242	181
947	3244	177
948	3248	174
949	3250	171
950	3253	167
951	3255	164
952	3257	160
953	3260	157
954	3264	153
955	3267	150
956	3269	146
957	3270	143
958	3273	139
959	3275	136
960	3279	133
961	3282	129
962	3284	126
963	3286	122
964	3288	119
965	3290	115
966	3294	112
967	3297	108
968	3299	105
969	3301	102
970	3303	98
971	3306	95
972	3309	91
973	3312	88
974	3314	84
975	3317	81
976	3319	78
977	3321	74
978	3324	71
979	3327	67
980	3329	64
981	3332	61
982	3334	57
983	3336	54
984	3341	50
985	3344	47
986	3347	44
987	3349	40
988	3352	37
989	3357	33
990	3360	30
991	3363	27
992	3365	23
993	3368	20
994	3372	16
995	3374	13
996	3377	10
997	3380	6
998	3382	3
999	3387	0
