Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
ORIENT SPICE COMPANY,"Industrial Development Plot, Nethaji Road, HG2H+43R, Poovanthuruthu, Kottayam, Kerala 686012, India",Kerala,686012,134400,54000,0,0,0,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,0.0,0.0,0.0,1.2783387237962146e-11
PARAYIL EXPORTS,"Plassanal Pravithanam Rd, Nariyanganam, Kerala 686579, India",Kerala,686579,2997177,2531381,2904314,2641552,3421523,2792016,2210220,1999789,471009,Meenachil,Kottayam,9.712446453333332,76.75880779333333,0,471009.000000016,471009.0000000006,471009.00000000594,471009.00000001886,471009.0000000021
PEPPER INDIA CORPORATION,"HGQG+4R8, Vellapally Ln, Eerayil Kadavu, Kottayam, Kerala 686004, India",Kerala,686004,62075,74570,20914,1516,0,0,0,0,0,Kottayam,Kottayam,9.58203488,76.54092101,0,0.0,7.199288502569672e-11,0.0,0.0,7.679357805109602e-12
PLANTRICH AGRI TECH P.LTD.,"Mini Industrial Estate, Manarcad, Kottayam, Manarcadu, Kerala 686019, India",Kerala,686019,435261,729372,947744,975120,1061881,809927,667858,1136246,1776791,Kottayam,Kottayam,9.592533289090907,76.58230555090908,0,1776791.000000007,1776791.000000002,1776791.0000000056,1776791.0000000123,1776791.0000000016
SANTHIGIRI ASHRAM,"Ettumanoor, Kerala 686631, India",Kerala,686631,386654,420914,512892,257194,214168,91778,8200,0,0,Kottayam,Kottayam,9.673597835897436,76.55975298397436,0,7.07043351320525e-10,5.542013450162304e-10,4.738489872970881e-10,0.0,0.0
SREE SANKARA AYURVEDA VAIDYASALA,"Mannam Rd, Changanassery, Kerala 686102, India",Kerala,686102,2488,2433,3176,400,2216,788,0,1477,478,Changanassery,Kottayam,9.43689048275862,76.53501334137931,0,477.9999999988496,477.9999999995154,477.99999999918936,477.99999999777776,477.9999999994627
T.J.P. RUBBER INDUSTRIES,"Industrial Development Plot, PO, Poovanthuruthu, Kottayam, Kerala 686012, India",Kerala,686012,253906,383388,552797,365326,600016,417102,556372,341077,791383,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,791383.000000003,791383.0000000009,791383.0000000027,791383.0000000049,791383.0000000006
T.J.P.EXPORTS,"ID Plot, Poovanthuruthu, Kottayam, Kerala 686012, India",Kerala,686012,25312,0,128097,154659,252144,232215,128067,209894,170752,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,170752.0000000003,170751.99999999985,170751.99999999974,170751.9999999996,170751.99999999965
TAURUS RUBBER INDUSTRIES,"HG2G+QPW, Unnamed Road, Poovanthuruthu, Kerala 686012, India",Kerala,686012,280,280,0,0,0,220,430,1395,1435,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,1434.999999998838,1434.999999999506,1434.9999999991812,1434.999999997774,1434.9999999994616
TUFCKO INTERNATI0NAL,"HQCR+3V5, Kanjirappally, Kerala 686507, India",Kerala,686507,1689760,1792415,1794385,1508383,1813848,1513204,2412491,2131882,3705082,Kanjirappally,Kottayam,9.558497567123288,76.79145172602739,0,3705082.000000014,3705082.0000000033,3705082.0000000135,3705082.000000029,3705082.0000000047
TUSCANY KERALA GARMENTS P.LTD.,"Kerala, India",Kerala,686012,6279,0,0,0,0,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,8.123490350453553e-11,0.0,0.0,0.0
