Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
NAVAMI EXPORTS,"WJ6W+JPW, Thaha Jct Rd, TKMC.P.O, Peroor, Kollam, Kerala 691004, India",Kerala,691004,396598,0,0,0,0,0,0,0,0,Kollam,Kollam,8.904030673684211,76.62197661052632,0,0.0,0.0,0.0,0.0,0.0
PONNU FOOD PRODUCTS,"Ailara, Anchal, Kollam, Ayilara, Kerala 691001, India",Kerala,691001,7835,0,0,0,0,0,0,0,0,Kollam,Kollam,8.886722971739129,76.59831395,0,0.0,7.972906328810366e-11,0.0,0.0,0.0
POYILAKADA FISHERIES,"Poilakada Rd, Asramam, Kollam, Kerala 691001, India",Kerala,691001,188800,85137,148000,0,747600,592506,46130,226400,48000,Kollam,Kollam,8.886722971739129,76.59831395,0,48000.00000000087,47999.99999999969,48000.00000000015,47999.99999999967,47999.99999999969
ROYAL FOOD EXPORTERS,"VHGX+VFG, KP Appan Rd, Kilikollore.P.O, Mundakkal Village, Kollam, Kerala 691001, India",Kerala,691001,285000,178000,136751,45000,47875,94626,8999,0,0,Kollam,Kollam,8.886722971739129,76.59831395,0,0.0,0.0,0.0,0.0,0.0
SAIDA TRADING COMPANY,"WJ7W+J26, Peroor, Kottamkara, Kerala 691005, India",Kerala,691005,196752,90000,66576,0,0,0,0,0,0,Kollam,Kollam,8.91188756590909,76.63882659886363,0,0.0,6.662190902486309e-11,0.0,0.0,0.0
SAN MARINE EXPORTS,"Sakthikulangara North, Kollam, Kerala 691581, India",Kerala,691581,1341722,1695462,1789629,1213896,1048400,924600,644839,840710,528250,Kollam,Kollam,8.928226436363635,76.54678488181818,0,528250.000000007,528250.0000000024,528250.000000005,528250.0000000087,528250.000000001
SOUPARNIKA EXPORT ENTERPRISES,"Decent Jun, Palathara, Kollam, Kerala 691577, India",Kerala,691577,1316224,1194790,1347292,1510501,1548960,1477802,1546514,1672437,2353694,Kollam,Kollam,8.896176114285716,76.66051566785714,0,2353694.0000000102,2353694.0000000014,2353694.0000000075,2353694.00000002,2353694.0000000037
SOUTH KERALA CASHEW EXPORTERS,"A-20, Mangadu Rd, Mangad, Kollam, Kerala 691015, India",Kerala,691015,700257,807483,867962,496890,803796,572732,516121,411147,516253,Kollam,Kollam,8.910343165384615,76.6223384,0,516253.0000000036,516253.00000000105,516253.0000000029,516253.0000000048,516253.0000000007
SOUTHERN CASHEW EXPORTERS,"WJFQ+R27, Kilikkollur, Chandanathope, Kottamkara, Kerala 691004, India",Kerala,691004,688032,666304,915536,581388,577332,431727,542757,140625,32326,Kollam,Kollam,8.904030673684211,76.62197661052632,0,32326.00000000297,32326.000000000684,32326.00000000112,32326.000000002085,32326.000000000146
ST.GEORGE FOODS,"2PX7+7GC, Puthoor, Kerala 691507, India",Kerala,691507,387264,219424,188760,189414,236388,124380,48398,0,0,Kottarakkara,Kollam,9.043139252830189,76.7161006773585,0,0.0,0.0,0.0,0.0,0.0
ST.GREGORIOS CASHEW INDUSTRIES,"2PQ6+2JG, Thekkumpuram Puthoor PO Kottarakara, Puthoor, Kerala 691507, India",Kerala,691507,1132266,924312,1139667,1062854,1179314,1094862,933586,1098932,1065459,Kottarakkara,Kollam,9.043139252830189,76.7161006773585,0,1065459.000000007,1065459.000000001,1065459.0000000042,1065459.0000000102,1065459.0000000012
ST.MARY'S CASHEW FACTORY,"St.Mary's Cashew Factory, Kottarakkara Sasthamcotta Rd, Puthoor, Kerala 691507, India",Kerala,691507,3227620,2692738,2719705,3031614,3788060,3184655,2794514,2818088,3070959,Kottarakkara,Kollam,9.043139252830189,76.7161006773585,0,3070959.0000000205,3070959.0000000005,3070959.000000012,3070959.0000000345,3070959.000000005
ST.MARYS RUBBERS P.LTD.,"2X3J+7GF, Kollam - Tenkasi Rd, Edamon Sathram, Edamon, Kerala 691307, India",Kerala,691307,301475,593485,3836424,794482,660049,1326442,2104027,2322315,2967456,Pathanapuram,Kollam,8.991363025,76.993489925,0,2967456.0000000214,2967456.0000000168,2967456.0000000168,2967456.000000023,2967456.0000000023
ST.MIKHAEL CASHEW EXPORTS,"WP95+FRF, Nallila Rd, Puliyila, Kerala 691515, India",Kerala,691515,15876,0,31752,15000,0,0,0,0,0,Kollam,Kollam,8.927581720930233,76.71007295116279,0,0.0,1.2381865101488483e-10,0.0,0.0,0.0
TASTY NUT INDUSTRIES,"KP Road, WJ5C+95H, Kilikolloor, Mangad, Kollam, Kerala 691004, India",Kerala,691004,1775611,1749974,2172295,2026583,2042224,2318345,1833086,849364,33999,Kollam,Kollam,8.904030673684211,76.62197661052632,0,33999.00000001064,33998.9999999998,33999.00000000249,33999.0000000115,33999.000000001106
UNI GREEN CONDIMENTS,"WHHV+XV8, Neeravil, Kerala 691601, India",Kerala,691601,2362360,2535191,1837124,0,0,0,0,0,0,Kollam,Kollam,8.937750675,76.6044615125,0,1.7901662154480015e-09,3.373764494557876e-09,7.413978022744825e-09,2.858309229568381e-09,1.004015376138034e-09
VERONICA MARINE EXPORTS P.LTD.,"Neendakara, Kollam, Kerala 691582, India",Kerala,691582,1444237,1871525,1659382,1420372,1585071,1972619,2774974,2958967,2673956,Karunagapally,Kollam,8.9475339,76.53934165,0,2673956.000000011,2673956.0000000014,2673956.000000011,2673956.0000000247,2673956.0000000037
AFRAS CASHEW  TRADERS,"WJC8+2J9, Mangad, Kollam, Kerala 691015, India",Kerala,691015,0,15876,186132,197751,505458,378126,743730,690000,531750,Kollam,Kollam,8.910343165384615,76.6223384,0,531750.0000000016,531750.0,531750.0000000009,531750.0000000029,531750.0
ARAPPURA EXPORTS,"Mundakkal, Kollam, Kerala 691001, India",Kerala,691001,0,19942,0,0,0,0,0,0,0,Kollam,Kollam,8.886722971739129,76.59831395,0,0.0,8.509748461449361e-11,0.0,0.0,0.0
INDOL LUBRICANTS,"Mini Industrial Estate Koivila, Thevalakkara, Kerala 691590, India",Kerala,691590,0,43000,0,0,0,0,0,0,0,Karunagappally,Kollam,8.988204466666668,76.57658943333334,0,0.0,8.253753236431294e-11,0.0,0.0,0.0
POYILAKADA FISHERIES ,"Poilakada Rd, Asramam, Kollam, Kerala 691001, India",Kerala,691001,0,18600,0,0,0,0,188912,0,66000,Kollam,Kollam,8.886722971739129,76.59831395,0,65999.9999999989,65999.99999999936,65999.99999999933,65999.99999999836,65999.99999999958
RADHAS AYURVEDIC SOAP WORKS,"VHWV+89R, Asramam, Kollam, Kerala 691002, India",Kerala,691002,0,1843,0,6955,3692,4221,0,2756,2509,Kollam,Kollam,8.897319366666666,76.59297653333334,0,2508.9999999988486,2508.999999999491,2508.9999999991696,2508.999999997796,2508.9999999994643
ROY CASHEW PRODUCTS,"Roy cashew factory, Kundara, Kerala 691515, India",Kerala,691515,0,251388,581280,307558,202008,210326,0,91875,0,Kollam,Kollam,8.927581720930233,76.71007295116279,0,1.3718701162140178e-09,1.3257619478856575e-09,3.32367050321466e-10,0.0,0.0
AL FANOOS CASHEWS,"WJFX+F5J, Peroor, Kottamkara, Kerala 691014, India",Kerala,691014,0,0,63504,76800,123600,46800,47800,46800,0,Kollam,Kollam,8.931472825,76.64248342222223,0,0.0,0.0,0.0,0.0,0.0
CAPITAL CASHEW EXPORTS,"Capital Cashew Exports mangadu,mangadu, po, Mangad, Kollam, Kerala 691015, India",Kerala,691015,0,0,47319,15000,0,0,0,0,0,Kollam,Kollam,8.910343165384615,76.6223384,0,0.0,1.8120363157894047e-10,0.0,0.0,0.0
M.K;FABRICS,"Convent Rd, Chinnakada, Kollam, Kerala 691001, India",Kerala,691001,0,0,6781,0,0,0,5575,0,0,Kollam,Kollam,8.886722971739129,76.59831395,0,0.0,1.0007095982296951e-10,0.0,0.0,0.0
RAVIS EXPORTS,"3P45+P43, Adisamangalam Temple Rd, Thekkumchery, Kerala 691507, India",Kerala,691507,0,0,31950,0,0,0,0,0,0,Kottarakkara,Kollam,9.043139252830189,76.7161006773585,0,0.0,1.7355569029468868e-10,0.0,0.0,0.0
LAKSHMI CASHEW COMPANY,"WJ4C+CG6, Mangad, Kollam, Kerala 691019, India",Kerala,691019,0,0,0,138627,292501,230926,60000,0,0,Kollam,Kollam,8.903712925,76.613172375,0,0.0,0.0,0.0,0.0,0.0
FABIAN TECHNOLOGIES,"kottiyam, NH 47, Kollam, Kottiyam, Kerala 691571, India",Kerala,691571,0,0,0,0,60,0,0,0,0,Kollam,Kollam,8.862876898076923,76.67408270384615,0,0.0,8.725853344094453e-11,0.0,0.0,0.0
THRILOKA EXPORTS,"XV/1056, Mylavila, Kerala 691302, India",Kerala,691302,0,0,0,0,27087,0,0,0,0,Kollam,Kollam,8.855673983333332,76.71191655,0,0.0,6.340363420731422e-11,0.0,0.0,0.0
R.R.BUSINESS GROUP,"Valakom, Kerala 691532, India",Kerala,691532,0,0,0,0,0,26000,666750,249660,397505,Kottarakkara,Kollam,8.94924200625,76.84236991875,0,397504.99999999953,397504.9999999994,397505.0000000002,397505.00000000064,397504.9999999999
COSMOS PACKAGING INTERNATIONAL,"EP 3/60, Thadicadu, Anchal, Arackal, Kerala 691306, India",Kerala,691306,0,0,0,0,0,0,2180,0,0,Pathanapuram,Kollam,8.91761572457143,76.91935525,0,0.0,8.514329396010333e-11,0.0,0.0,0.0
DUA NUT FOODS,"Malayalam nagar TKMC, PO, Vadakkanazhikam, Karicode, Peroor, Kollam, Kerala 691005, India",Kerala,691005,0,0,0,0,0,0,62250,15000,0,Kollam,Kollam,8.91188756590909,76.63882659886363,0,0.0,3.360935087285983e-11,0.0,0.0,0.0
GREEN WATER SCIENCE,"MG Nagar, Puliyathmukku Jn, Ammannada, Kollam, Kerala 691004, India",Kerala,691004,0,0,0,0,0,0,0,31000,0,Kollam,Kollam,8.904030673684211,76.62197661052632,0,0.0,1.042805524505028e-10,0.0,0.0,0.0
HAYRAS PROVISIOS,"Shop No:20/530C near Rose Dale School, Umayanalloor, Mayyanad, Kerala 691589, India",Kerala,691589,0,0,0,0,0,0,0,15908,13516,Kollam,Kollam,8.875603633333332,76.6503463,0,13515.99999999886,13515.999999999529,13515.999999999223,13515.999999997835,13515.999999999463
SOUTHERN TRADE WING P.LTD.,"Sneha Nagar Rd, Karunagappalli, Kerala 690544, India",Kerala,690544,0,0,0,0,0,0,0,10549,0,Karunagappally,Kollam,9.086964940909091,76.52738797272727,0,0.0,9.308589863910764e-11,0.0,0.0,0.0
BISMI CASHEW COMPANY,"Mangad P.O, Kilikolloor, Mangad, Kollam, Kerala 691015, India",Kerala,691015,0,0,0,0,0,0,0,0,300615,Kollam,Kollam,8.910343165384615,76.6223384,0,300614.9999999993,300614.99999999977,300615.00000000006,300614.99999999924,300614.9999999999
